"Latest: Time (s)","Latest: Y-Axis Acceleration 1 (m/s²)","Latest: Y-Axis Acceleration 2 (m/s²)","Latest: Y-Axis Acceleration 3 (m/s²)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,-60.8389260378,-52.472791147,-53.6202455929,-30.7197092433,10.1724614203
0.0002,-64.7479640604,-57.3751422489,-58.4285326762,-33.2985997596,10.9259770811
0.0004,-67.9247425767,-61.4169367545,-62.2100981894,-39.4529176975,11.6794927418
0.0006,-70.6805814967,-64.8591631398,-65.6617284565,-47.5354588882,12.4094610382
0.0008,-72.879552409,-67.7394413651,-68.4165723996,-54.0334847826,12.7862188686
0.001,-74.8351676171,-70.1353625991,-70.8022580254,-59.3296136719,13.5397345293
0.0012,-76.3347649292,-72.1927041886,-72.7841767416,-63.6637926201,14.6700080205
0.0014,-77.5208499377,-73.9514373417,-74.4730760434,-67.2046330775,15.4235236812
0.0016,-78.6389707406,-75.4115620584,-75.9058717625,-70.1272315503,15.4235236812
0.0018,-79.5466217452,-76.5730783387,-77.0802566595,-72.4661750026,15.4235236812
0.002,-80.2788812514,-77.6570034504,-78.0723696374,-74.4268235343,15.8002815116
0.0022,-80.8379416529,-78.5175600467,-78.95373512,-76.0091771453,15.8002815116
0.0024,-81.3268454549,-79.2299880486,-79.650521444,-77.2802480788,15.8002815116
0.0026,-81.7784785635,-79.864824882,-80.2388675122,-78.3135336335,15.8002815116
0.0028,-82.1292615605,-80.3515331208,-80.7879905093,-79.2063096463,15.0467658509
0.003,-82.4076955643,-80.7630014388,-81.1548415871,-79.3792444671,15.0467658509
0.0032,-82.6510512685,-81.1744697567,-81.5955243284,-78.4151328407,14.6700080205
0.0034,-82.7913644673,-81.4754294406,-81.7431876554,-75.5271213321,13.9164923597
0.0036,-83.0018342655,-81.6987979561,-82.146954565,-69.7165113507,13.1629766989
0.0038,-83.1399550705,-81.924517719,-82.2946178919,-64.9694505177,12.7862188686
0.004,-83.2451899696,-82.110266274,-82.5138056428,-60.0170295849,12.0562505722
0.0042,-83.3504248687,-82.2983660764,-81.3025049141,-52.8661747416,12.0562505722
0.0044,-83.3855031684,-81.6987979561,-67.4244594217,-39.6604394825,11.3027349114
0.0046,-83.4885456738,-75.0000937405,-51.5991038055,-24.4248817634,10.1724614203
0.0048,-83.4885456738,-69.0114662793,-32.6912762395,-12.7344878722,9.79570358992
0.005,-83.4885456738,-60.2178005138,-17.8580336011,-4.99565463804,8.66543009877
0.0052,-83.4885456738,-51.6851232242,-4.7506060962,5.87113716872,8.28867226839
0.0054,-83.4885456738,-41.4689527024,6.33798686074,16.3250470906,7.55870397203
0.0056,-83.4885456738,-30.8789338233,15.5161855255,24.7145475884,6.80518831126
0.0058,-83.4885456738,-18.6430416725,23.0424007202,31.454682232,6.0516726505
0.006,-83.4885456738,-5.69472151983,29.6134187687,37.0253451495,5.67491482012
0.0062,-83.4885456738,5.27149696427,34.6455080819,41.5648841974,5.29815698974
0.0064,-83.4885456738,14.7399707712,39.1976915825,45.2786594757,4.54464132898
0.0066,-83.4885456738,22.4473601775,42.8315937688,48.1688326696,4.16788349859
0.0068,-83.4885456738,29.0332045115,46.0271204532,49.6820123523,3.81467303261
0.007,-83.4885456738,34.3846438918,48.7058254934,45.3478334041,3.06115737185
0.0072,-76.1944517304,38.9507665968,50.9830708634,42.9418777087,3.06115737185
0.0074,-62.6893063469,42.769192587,52.8173262527,44.3512964988,2.68439954147
0.0076,-40.8070245168,45.9504304963,54.4716169623,47.2738949716,2.30764171109
0.0078,-22.6233109111,48.6802288797,55.8651896102,50.0257203088,2.30764171109
0.008,-7.44098432333,50.8880503112,57.004965915,52.1917289402,2.30764171109
0.0082,4.98331095077,52.8348832668,57.9947716533,53.979442651,1.9308838807
0.0084,15.4191051108,54.4431365779,58.9130529677,55.3888614412,2.30764171109
0.0086,23.6208500588,55.8280213736,59.5013990359,56.5583331673,2.30764171109
0.0088,30.4260402001,57.0271576144,60.1612695282,57.4532708654,2.30764171109
0.009,36.150380232,57.9629541317,60.6019522695,57.9699136427,2.30764171109
0.0092,40.6162862622,58.7858907675,60.9688033474,57.9699136427,2.30764171109
0.0094,44.6305591839,59.4583475613,61.4094860887,57.9699136427,2.30764171109
0.0096,47.7722594005,60.0202957212,61.6309810791,57.9699136427,2.30764171109
0.0098,50.3899775154,60.5446239206,61.9609163252,57.9699136427,2.30764171109
0.01,52.6569126334,61.06895212,62.1431882444,57.9699136427,2.30764171109
0.0102,54.4722146427,61.4428004774,62.3646832348,57.9699136427,2.68439954147
0.0104,56.0419685542,60.4317640391,55.7567493545,57.9699136427,2.68439954147
0.0106,57.1951676568,60.7303724755,43.8237067466,57.9699136427,2.68439954147
0.0108,58.2760177662,61.2547006749,37.8756433586,44.1113494348,3.06115737185
0.011,59.1836687709,61.5533091113,37.6172325364,20.7262382819,3.06115737185
0.0112,59.4292168687,61.8542687953,41.8763966227,1.53695822053,3.06115737185
0.0114,59.4292168687,62.0776373107,45.3280268898,-14.522201583,3.81467303261
0.0116,59.4292168687,62.2657371132,44.8873441484,-27.1421201364,3.81467303261
0.0118,59.4292168687,62.4514856681,42.4278268592,-37.4944308511,4.16788349859
0.012,59.4292168687,62.5643455496,45.8794571263,-40.6223894237,4.54464132898
0.0122,59.4292168687,62.7524453521,45.5126060484,-23.9449876355,4.92139915936
0.0124,59.4292168687,62.7900653126,42.0609757814,-7.60913211852,5.29815698974
0.0126,59.4292168687,62.9758138675,37.9125591903,5.73278931202,5.67491482012
0.0128,59.4292168687,62.938193907,40.7020117257,16.3250470906,6.0516726505
0.013,59.4292168687,63.0510537885,44.4097455754,24.7491345525,6.42843048088
0.0132,59.4292168687,63.088673749,47.4206931012,31.662204017,7.18194614165
0.0134,59.4292168687,63.1262937095,50.0278737173,37.1636930062,7.55870397203
0.0136,59.4292168687,63.2015336305,52.1205399287,41.66864509,7.93546180241
0.0138,59.4292168687,63.239153591,53.9571025575,45.3478334041,8.66543009877
0.014,59.4292168687,63.2015336305,55.4614227006,48.3396058052,8.66543009877
0.0142,59.4292168687,63.2767735515,56.6358075976,50.7823101501,9.04218792915
0.0144,59.4292168687,63.2767735515,57.7755839024,52.7753839607,9.41894575953
