"Latest: Time (s)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,4.94170968814,10.1018193271
0.0002,-0.895288345782,10.1018193271
0.0004,-5.75945337405,10.1018193271
0.0006,-10.5507734188,10.1018193271
0.0008,-14.6277426575,10.1018193271
0.001,-17.2478122258,10.1018193271
0.0012,-19.7174921508,10.1018193271
0.0014,-23.1976024923,9.74860886112
0.0016,-25.928114455,9.74860886112
0.0018,-27.4249613743,9.37185103074
0.002,-28.7361710776,8.99509320036
0.0022,-30.5690448564,8.61833536997
0.0024,-30.418655213,8.24157753959
0.0026,-29.7090040833,7.86481970921
0.0028,-29.4082247965,7.48806187883
0.003,-28.9218082937,7.11130404845
0.0032,-26.3040885635,6.35778838769
0.0034,-21.9991850216,5.9810305573
0.0036,-18.333437464,5.60427272692
0.0038,-14.7029374792,5.22751489654
0.004,-9.61553782399,4.49754660018
0.0042,-4.15216406036,4.1207887698
0.0044,1.31120970327,3.74403093942
0.0046,7.52418184566,2.99051527865
0.0048,13.1731928253,2.61375744827
0.005,18.6741639998,2.61375744827
0.0052,24.2855775687,2.23699961789
0.0054,29.7113539214,2.23699961789
0.0056,33.7530755874,1.86024178751
0.0058,36.6339771936,1.48348395713
0.006,39.8908529081,1.10672612675
0.0062,43.4085606605,1.10672612675
0.0064,45.053447385,1.10672612675
0.0066,45.6150587095,0.729968296364
0.0068,46.7382813586,0.729968296364
0.007,47.5983221317,0.729968296364
0.0072,47.3727376666,0.729968296364
0.0074,46.9239185746,0.729968296364
0.0076,46.625489126,0.729968296364
0.0078,45.8758907473,0.729968296364
0.008,44.8678101689,0.729968296364
0.0082,44.0430169685,1.10672612675
0.0084,43.1453787845,1.10672612675
0.0086,41.5357396327,1.10672612675
0.0088,39.4420338162,1.10672612675
0.009,37.7196024318,1.48348395713
0.0092,35.7363390096,1.48348395713
0.0094,32.9306322252,1.48348395713
0.0096,29.7865487431,1.86024178751
0.0098,26.6824125101,2.23699961789
0.01,23.0143151144,2.23699961789
0.0102,18.8598012159,2.23699961789
0.0104,14.4092077069,2.61375744827
0.0106,9.43225044612,2.23699961789
0.0108,4.19211130938,2.23699961789
0.011,-0.672053718881,2.61375744827
0.0112,-5.27303687122,2.61375744827
0.0114,-10.3251889537,2.61375744827
0.0116,-15.6005756631,2.61375744827
0.0118,-20.0535190103,2.61375744827
0.012,-24.0576432654,2.61375744827
0.0122,-28.1369623423,2.61375744827
0.0124,-31.6546700946,2.61375744827
0.0126,-34.460376879,2.23699961789
