"Latest: Time (s)","Latest: Y-Axis Acceleration 1 (m/s²)","Latest: Y-Axis Acceleration 2 (m/s²)","Latest: Y-Axis Acceleration 3 (m/s²)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,,,,-60.7411941473,10.5492192507
0.0002,,,,-60.5682593264,11.3027349114
0.0004,,,,-54.7900746239,12.0562505722
0.0006,,,,-46.1930523411,12.4094610382
0.0008,,,,-40.931510416,12.7862188686
0.001,,,,-39.3167315261,12.7862188686
0.0012,,,,-38.8346757129,12.7862188686
0.0014,,,,-40.6569763878,13.1629766989
0.0016,,,,-41.7226872215,13.9164923597
0.0018,,,,-41.0352713085,13.9164923597
0.002,,,,-42.0318082138,13.9164923597
0.0022,,,,-47.3971110315,13.5397345293
0.0024,,,,-50.6634174607,13.1629766989
0.0026,,,,-51.6275290871,13.1629766989
0.0028,,,,-53.1061218056,13.1629766989
0.003,,,,-51.4200073021,12.7862188686
0.0032,,,,-47.3625240673,12.4094610382
0.0034,,,,-44.4745125587,12.0562505722
0.0036,,,,-41.378979265,11.6794927418
0.0038,,,,-34.8463664064,11.3027349114
0.004,,,,-29.5502375171,10.9259770811
0.0042,,,,-27.4166541646,10.1724614203
0.0044,,,,-22.7755159093,9.79570358992
0.0046,,,,-16.2753283296,9.41894575953
0.0048,,,,-9.80972771416,8.66543009877
0.005,,,,0.162126394571,7.93546180241
0.0052,,,,11.7855080427,7.55870397203
0.0054,,,,20.3133563971,6.80518831126
0.0056,,,,27.4663729256,6.42843048088
0.0058,,,,33.7936256843,6.0516726505
0.006,,,,38.8843944739,5.67491482012
0.0062,,,,42.803529852,5.29815698974
0.0064,,,,45.968237074,4.54464132898
0.0066,,,,48.0996587413,4.16788349859
0.0068,,,,47.8921369562,3.81467303261
0.007,,,,48.0996587413,3.43791520223
0.0072,,,,49.2345435033,3.06115737185
0.0074,,,,49.5436644956,2.68439954147
0.0076,,,,51.3313782064,2.68439954147
0.0078,,,,53.2228528097,2.30764171109
0.008,,,,54.8397933849,2.30764171109
0.0082,,,,55.9400911827,1.9308838807
0.0084,,,,56.936628088,1.9308838807
0.0086,,,,57.831565786,1.55412605032
0.0088,,,,57.7623918577,1.55412605032
0.009,,,,57.9699136427,1.17736821994
0.0092,,,,57.9699136427,1.17736821994
0.0094,,,,57.9699136427,1.17736821994
0.0096,,,,57.9699136427,1.17736821994
0.0098,,,,57.9699136427,0.80061038956
0.01,,,,57.9699136427,0.80061038956
0.0102,,,,57.9699136427,0.80061038956
0.0104,,,,57.9699136427,0.80061038956
0.0106,,,,57.9699136427,0.80061038956
0.0108,,,,54.3577375717,0.80061038956
0.011,,,,46.4135442377,0.80061038956
0.0112,,,,30.9056141757,0.80061038956
0.0114,,,,15.9121652058,0.80061038956
0.0116,,,,7.79719873623,0.80061038956
0.0118,,,,-0.112407633569,0.80061038956
0.012,,,,-8.19494882424,1.17736821994
0.0122,,,,-9.4314327935,0.80061038956
0.0124,,,,1.50237125636,1.17736821994
0.0126,,,,13.0565789761,1.17736821994
0.0128,,,,22.2394179646,1.17736821994
0.013,,,,29.5307823498,1.55412605032
0.0132,,,,35.546752431,1.55412605032
0.0134,,,,40.3975741565,1.9308838807
0.0136,,,,44.2821225704,2.30764171109
0.0138,,,,47.5138420356,2.30764171109
0.014,,,,50.1619064802,2.30764171109
0.0142,,,,52.2954898328,2.68439954147
0.0144,,,,54.0486165794,2.68439954147
0.0146,,,,55.4926223337,2.68439954147
0.0148,,,,56.5583331673,3.43791520223
0.015,,,,55.3564361623,3.81467303261
0.0152,,,,49.6820123523,3.81467303261
0.0154,,,,39.9501053075,4.16788349859
0.0156,,,,28.050027946,4.16788349859
0.0158,,,,14.8810413363,4.16788349859
0.016,,,,-0.629050410935,4.92139915936
0.0162,,,,-15.657086345,4.92139915936
0.0164,,,,-26.5238781518,4.92139915936
0.0166,,,,-34.3643105932,5.29815698974
0.0168,,,,-40.6569763878,5.29815698974
0.017,,,,-44.0270437096,5.29815698974
0.0172,,,,-44.7490465868,5.29815698974
0.0174,,,,-42.4792770628,5.67491482012
0.0176,,,,-37.1831481735,5.67491482012
0.0178,,,,-29.8247715452,5.67491482012
0.018,,,,-21.4331093623,5.67491482012
0.0182,,,,-11.7357892817,5.67491482012
0.0184,,,,-1.76393517293,6.0516726505
0.0186,,,,6.31644433248,5.67491482012
0.0188,,,,12.4383369915,5.67491482012
0.019,,,,15.7046434208,5.67491482012
0.0192,,,,16.3596340548,5.67491482012
0.0194,,,,14.2260507023,5.29815698974
0.0196,,,,11.647160186,5.29815698974
0.0198,,,,8.58621385647,5.29815698974
