"Latest: Time (s)","Latest: Y-Axis Acceleration 1 (m/s²)","Latest: Y-Axis Acceleration 2 (m/s²)","Latest: Y-Axis Acceleration 3 (m/s²)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,,,,-30.7197092433,10.1724614203
0.0002,,,,-33.2985997596,10.9259770811
0.0004,,,,-39.4529176975,11.6794927418
0.0006,,,,-47.5354588882,12.4094610382
0.0008,,,,-54.0334847826,12.7862188686
0.001,,,,-59.3296136719,13.5397345293
0.0012,,,,-63.6637926201,14.6700080205
0.0014,,,,-67.2046330775,15.4235236812
0.0016,,,,-70.1272315503,15.4235236812
0.0018,,,,-72.4661750026,15.4235236812
0.002,,,,-74.4268235343,15.8002815116
0.0022,,,,-76.0091771453,15.8002815116
0.0024,,,,-77.2802480788,15.8002815116
0.0026,,,,-78.3135336335,15.8002815116
0.0028,,,,-79.2063096463,15.0467658509
0.003,,,,-79.3792444671,15.0467658509
0.0032,,,,-78.4151328407,14.6700080205
0.0034,,,,-75.5271213321,13.9164923597
0.0036,,,,-69.7165113507,13.1629766989
0.0038,,,,-64.9694505177,12.7862188686
0.004,,,,-60.0170295849,12.0562505722
0.0042,,,,-52.8661747416,12.0562505722
0.0044,,,,-39.6604394825,11.3027349114
0.0046,,,,-24.4248817634,10.1724614203
0.0048,,,,-12.7344878722,9.79570358992
0.005,,,,-4.99565463804,8.66543009877
0.0052,,,,5.87113716872,8.28867226839
0.0054,,,,16.3250470906,7.55870397203
0.0056,,,,24.7145475884,6.80518831126
0.0058,,,,31.454682232,6.0516726505
0.006,,,,37.0253451495,5.67491482012
0.0062,,,,41.5648841974,5.29815698974
0.0064,,,,45.2786594757,4.54464132898
0.0066,,,,48.1688326696,4.16788349859
0.0068,,,,49.6820123523,3.81467303261
0.007,,,,45.3478334041,3.06115737185
0.0072,,,,42.9418777087,3.06115737185
0.0074,,,,44.3512964988,2.68439954147
0.0076,,,,47.2738949716,2.30764171109
0.0078,,,,50.0257203088,2.30764171109
0.008,,,,52.1917289402,2.30764171109
0.0082,,,,53.979442651,1.9308838807
0.0084,,,,55.3888614412,2.30764171109
0.0086,,,,56.5583331673,2.30764171109
0.0088,,,,57.4532708654,2.30764171109
0.009,,,,57.9699136427,2.30764171109
0.0092,,,,57.9699136427,2.30764171109
0.0094,,,,57.9699136427,2.30764171109
0.0096,,,,57.9699136427,2.30764171109
0.0098,,,,57.9699136427,2.30764171109
0.01,,,,57.9699136427,2.30764171109
0.0102,,,,57.9699136427,2.68439954147
0.0104,,,,57.9699136427,2.68439954147
0.0106,,,,57.9699136427,2.68439954147
0.0108,,,,44.1113494348,3.06115737185
0.011,,,,20.7262382819,3.06115737185
0.0112,,,,1.53695822053,3.06115737185
