"Latest: Time (s)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,-60.9642016876,10.1018193271
0.0002,-60.5529800065,10.4785771575
0.0004,-59.9913686819,11.6088506486
0.0006,-58.644911406,11.985608479
0.0008,-59.6177444117,11.985608479
0.001,-62.5738408395,12.3623663094
0.0012,-63.8075058829,12.3623663094
0.0014,-62.5362434286,12.7391241398
0.0016,-61.7138000664,13.1158819702
0.0018,-62.1626191583,13.1158819702
0.002,-64.4443120291,13.1158819702
0.0022,-66.6155625055,12.7391241398
0.0024,-67.6236430838,12.3623663094
0.0026,-69.4212692899,11.985608479
0.0028,-70.8805187984,11.6088506486
0.003,-68.0372146031,11.2320928182
0.0032,-62.2730615527,11.2320928182
0.0034,-58.9433408546,10.4785771575
0.0036,-55.0896062428,9.74860886112
0.0038,-48.6158020627,9.37185103074
0.004,-39.8979024227,8.99509320036
0.0042,-30.3552095822,8.61833536997
0.0044,-20.1780604337,7.86481970921
0.0046,-8.65445400923,7.48806187883
0.0048,2.38508575057,7.11130404845
0.005,11.6645967151,6.35778838769
0.0052,19.8584824415,5.9810305573
0.0054,26.0714545839,5.60427272692
0.0056,31.5724257583,5.22751489654
0.0058,36.3237985541,4.87430443056
0.006,40.2151305767,4.87430443056
0.0062,43.6576435073,4.49754660018
0.0064,46.5761425243,4.49754660018
0.0066,48.9706276276,4.49754660018
0.0068,51.0666832823,4.49754660018
0.007,52.8243622393,4.49754660018
0.0072,54.2836117478,4.49754660018
0.0074,55.6324188619,4.49754660018
0.0076,56.7156942619,4.49754660018
0.0078,57.6885272676,4.49754660018
0.008,58.4757230572,4.87430443056
0.0082,59.1125292034,5.22751489654
0.0084,59.7093881006,5.22751489654
0.0086,60.2709994251,5.60427272692
0.0088,60.6822211063,5.9810305573
0.009,61.0581952147,6.35778838769
0.0092,61.3566246633,6.73454621807
0.0094,61.6550541119,7.11130404845
0.0096,61.8430411661,7.48806187883
0.0098,62.0310282204,7.86481970921
0.01,62.1790680256,8.61833536997
0.0102,62.2542628473,8.99509320036
0.0104,61.0581952147,8.99509320036
0.0106,58.1749437704,9.37185103074
0.0108,53.3107787422,10.1018193271
0.011,51.32751532,10.4785771575
0.0112,48.0729894436,10.8553349879
0.0114,42.7976027342,11.2320928182
0.0116,35.3509655484,11.6088506486
0.0118,24.910634524,11.6088506486
0.012,15.0319148241,11.985608479
0.0122,8.37247342788,12.3623663094
0.0124,5.79000127036,12.3623663094
0.0126,4.62918121048,12.3623663094
0.0128,1.33705792323,12.3623663094
0.013,-0.495815855538,12.3623663094
0.0132,-1.54384368288,11.985608479
0.0134,-5.3599808838,11.985608479
0.0136,-10.1865485012,11.985608479
0.0138,-13.591464021,11.6088506486
0.014,-14.4538546323,11.2320928182
0.0142,-13.2930345724,11.2320928182
0.0144,-13.5562164483,10.4785771575
0.0146,-15.6499222649,10.4785771575
0.0148,-16.5475604488,9.74860886112
0.015,-17.0339769516,9.37185103074
0.0152,-18.6436161035,8.99509320036
0.0154,-20.4764898823,8.24157753959
0.0156,-21.7125047639,7.48806187883
0.0158,-21.0381012068,7.11130404845
0.016,-20.7396717582,6.35778838769
0.0162,-22.3869083209,5.9810305573
0.0164,-22.0861290341,5.22751489654
0.0166,-19.65404652,4.49754660018
0.0168,-18.3451866549,4.1207887698
0.017,-16.3619232328,3.36727310903
0.0172,-12.8818128913,2.99051527865
0.0174,-7.68162100358,2.61375744827
0.0176,-1.58144109373,2.23699961789
0.0178,2.23469610719,1.48348395713
0.018,5.60201421613,1.10672612675
0.0182,10.0925549741,0.353210465983
0.0184,13.6478601373,0.353210465983
0.0186,15.5183313269,0
0.0188,17.2783601221,0
0.019,18.5496225764,0
0.0192,19.0360390792,0
0.0194,18.6624148089,0
0.0196,16.0799426514,0
0.0198,12.825416775,0
0.02,10.4685290826,0
0.0202,6.87562650855,0
0.0204,4.33075176188,0
0.0206,3.99472490244,0
0.0208,2.83390484256,0
0.021,1.41225274492,0
0.0212,0.251432685036,0
0.0214,-0.683802909771,0
0.0216,-1.20781682344,0
0.0218,-2.29109222346,0
0.022,-4.08871842956,0
0.0222,-5.54796793804,0
0.0224,-5.3599808838,0
0.0226,-4.98635661352,0
0.0228,-6.89442521398,0
0.023,-10.2617433229,0
0.0232,-13.5186190375,0
0.0234,-16.6603526814,0
0.0236,-20.2156578445,0
0.0238,-23.6205733643,0
0.024,-26.614267203,0
0.0242,-28.7855176794,0
0.0244,-30.9544183176,0
0.0246,-33.6872801185,0
0.0248,-36.7538189406,0
0.025,-39.1130564713,0
0.0252,-41.0587224826,0
0.0254,-42.5555694019,0
0.0256,-43.2276231208,0
0.0258,-42.5555694019,0
0.026,-41.2067622878,0
0.0262,-39.9730972444,0
0.0264,-38.9626668279,0
0.0266,-37.8770415897,0
0.0268,-37.4658199085,0
0.027,-38.1754710383,0
0.0272,-39.6723179576,0
0.0274,-41.8059710231,0
0.0276,-44.3508457698,0
0.0278,-46.7077334622,0
0.028,-48.989426333,0
0.0282,-51.3862612745,0
0.0284,-43.7892344453,0
0.0286,-27.28867076,0
0.0288,-25.1174202836,0
0.029,-32.3008755935,0
0.0292,-32.9752791506,0
0.0294,-35.1465296269,0
0.0296,-38.0650286439,0
0.0298,-36.6057791354,0
0.03,-33.0128765614,0
0.0302,-28.1111141223,0
0.0304,-20.3660474879,0
0.0306,-17.447548471,0
0.0308,-19.6164491092,0
0.031,-15.4642850488,0
0.0312,-7.75446598709,0
0.0314,-7.60642618188,0
0.0316,-9.17611808472,0
0.0318,-5.54796793804,0
0.032,-0.00939935271163,0
0.0322,1.29946051238,0
0.0324,0.326627506729,0
0.0326,1.60023979915,0
0.0328,5.82759868121,0
0.033,9.9445151689,0
0.0332,6.9132239194,0
0.0334,4.77957085386,0
0.0336,8.29727860619,0
0.0338,9.11972196845,0
0.034,6.53959964911,0
0.0342,6.16362554065,0
0.0344,7.9236543359,0
0.0346,12.0758183963,0
0.0348,13.6102627264,0
0.035,12.8630141859,0
0.0352,15.5183313269,0
0.0354,18.399232933,0
0.0356,19.5600529929,0
0.0358,19.5976504037,0
0.036,21.2824843773,0
0.0362,26.1842468164,0
0.0364,29.5891623362,0
0.0366,28.5787319197,0
0.0368,28.0171205952,0
0.037,30.1484238225,0
0.0372,32.4700639423,0
0.0374,31.0484118447,0
0.0376,27.2675222164,0
0.0378,25.7330778863,0
0.038,25.1738163999,0
0.0382,22.1801225613,0
0.0384,19.1864287226,0
0.0386,19.3344685278,0
0.0388,20.868912858,0
0.039,20.9441076797,0
0.0392,18.5872199872,0
0.0394,18.2511931278,0
0.0396,21.1320947339,0
0.0398,21.992135507,0
0.04,19.7480400471,0
0.0402,19.3720659387,0
0.0404,21.0568999122,0
0.0406,22.4785520099,0
0.0408,22.8521762801,0
0.041,22.5913442424,0
0.0412,23.3009953721,0
0.0414,24.4242180212,0
0.0416,22.8521762801,0
0.0418,19.2616235443,0
0.042,17.315957533,0
0.0422,16.4159695109,0
0.0424,14.5830957321,0
0.0426,11.6269993043,0
0.0428,9.64373588213,0
0.043,8.97168216325,0
0.0432,7.9236543359,0
0.0434,6.1260281298,0
0.0436,4.33075176188,0
0.0438,3.43311357792,0
0.044,3.39551616707,0
0.0442,2.42268316142,0
0.0444,0.700251777016,0
0.0446,1.26186310154,0
0.0448,2.72111261002,0
0.045,2.38508575057,0
0.0452,1.41225274492,0
0.0454,1.41225274492,0
0.0456,1.74827960436,0
0.0458,0.888238831249,0
0.046,-1.87987054233,0
0.0462,-5.39757829465,0
0.0464,-7.23045207342,0
0.0466,-8.76489640359,0
0.0468,-11.7209928314,0
0.047,-14.71468667,0
0.0472,-15.7251170865,0
0.0474,-16.3619232328,0
0.0476,-18.2323944224,0
0.0478,-20.1404630228,0
0.048,-21.2636856719,0
0.0482,-22.3117134992,0
0.0484,-23.6205733643,0
0.0486,-24.59340637,0
0.0488,-24.7061986025,0
0.049,-23.695768186,0
0.0492,-22.8357274129,0
0.0494,-23.3221439157,0
0.0496,-23.4325863101,0
0.0498,-22.3117134992,0
0.05,-22.2741160884,0
0.0502,-23.1341568615,0
0.0504,-23.695768186,0
0.0506,-24.0317950454,0
0.0508,-24.2949769214,0
0.051,-24.7813934242,0
0.0512,-25.8294212515,0
0.0514,-26.2406429327,0
0.0516,-25.716629019,0
0.0518,-25.4910445539,0
0.052,-26.3158377544,0
0.0522,-26.6518646138,0
0.0524,-26.0902532893,0
0.0526,-25.6414341973,0
0.0528,-25.1926151053,0
0.053,-24.0317950454,0
0.0532,-22.4973507153,0
0.0534,-21.0005037959,0
0.0536,-19.4308118931,0
0.0538,-17.7083805087,0
0.054,-15.3138954054,0
0.0542,-12.6186310154,0
0.0544,-10.93614688,0
0.0546,-10.1489510904,0
0.0548,-8.42886954415,0
0.055,-6.18477408425,0
0.0552,-4.79836955928,0
0.0554,-3.63989933758,0
0.0556,-1.95506536402,0
0.0558,-0.383023622999,0
0.056,0.888238831249,0
0.0562,1.97386406944,0
0.0564,2.83390484256,0
0.0566,3.73154302652,0
0.0568,5.00515531894,0
0.057,6.1260281298,0
0.0572,7.47483524392,0
0.0574,9.45809866607,0
0.0576,11.5894018934,0
0.0578,13.459873083,0
0.058,15.3702915217,0
0.0582,17.5767895707,0
0.0584,19.4472607604,0
0.0586,21.0568999122,0
0.0588,22.440954599,0
0.059,23.6017746589,0
0.0592,24.6873998971,0
0.0594,25.8082727079,0
0.0596,25.9210649405,0
0.0598,25.6602329027,0
0.06,25.9962597622,0
