"Latest: Time (s)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,-52.2745001057,10.1018193271
0.0002,-52.2745001057,10.4785771575
0.0004,-50.5144713105,11.2320928182
0.0006,-50.1032496293,11.985608479
0.0008,-47.6711671152,12.3623663094
0.001,-45.502266477,12.3623663094
0.0012,-45.4270716553,12.7391241398
0.0014,-48.0447913855,12.7391241398
0.0016,-48.9071819968,12.3623663094
0.0018,-48.0071939746,12.3623663094
0.002,-48.7943897642,11.985608479
0.0022,-48.4936104775,12.3623663094
0.0024,-50.178444451,11.985608479
0.0026,-50.9632904024,11.6088506486
0.0028,-54.668985209,10.8553349879
0.003,-58.7859016967,10.4785771575
0.0032,-57.2890547774,10.1018193271
0.0034,-57.0634703123,9.37185103074
0.0036,-53.9193868302,8.99509320036
0.0038,-49.3560010887,8.24157753959
0.004,-43.9678221468,7.48806187883
0.0042,-38.093226702,7.11130404845
0.0044,-32.5546581167,6.73454621807
0.0046,-26.8680497262,5.9810305573
0.0048,-17.4005517074,5.60427272692
0.005,-6.32341453675,5.22751489654
0.0052,3.62815014669,5.22751489654
0.0054,12.8348161277,4.87430443056
0.0056,20.4670905296,4.49754660018
0.0058,27.0160895314,4.1207887698
0.006,32.3290736516,4.1207887698
0.0062,36.9324066422,4.1207887698
0.0064,40.9341810591,3.74403093942
0.0066,44.1534593629,3.74403093942
0.0068,46.9967635581,4.1207887698
0.007,49.3536512506,4.1207887698
0.0072,50.2536392727,4.49754660018
0.0074,49.504040894,4.49754660018
0.0076,49.6544305373,4.49754660018
0.0078,49.8400677534,4.87430443056
0.008,48.7567923534,5.60427272692
0.0082,49.055221802,5.60427272692
0.0084,51.2993172619,5.9810305573
0.0086,53.096943468,6.73454621807
0.0088,54.5937903873,7.11130404845
0.009,55.9402476632,7.86481970921
0.0092,56.9882754906,8.24157753959
0.0094,57.8859136745,8.99509320036
0.0096,58.670759626,9.37185103074
0.0098,59.2699683613,10.1018193271
0.01,59.9443719184,10.8553349879
0.0102,60.3931910104,11.2320928182
0.0104,60.5788282264,11.6088506486
0.0106,59.345163183,12.3623663094
0.0108,59.8315796859,12.7391241398
0.011,59.0091363236,13.1158819702
0.0112,55.0050120684,13.4926398005
0.0114,50.7024583647,13.8693976309
0.0116,45.9111383199,13.4926398005
0.0118,39.7757108374,14.2461554613
0.012,33.825920571,14.2461554613
0.0122,28.886560721,14.2461554613
0.0124,21.8887426272,13.4926398005
0.0126,18.4462296966,13.8693976309
0.0128,17.6237863343,13.4926398005
0.013,16.6133559178,13.1158819702
0.0132,18.2229950697,12.7391241398
0.0134,20.5798827621,12.3623663094
0.0136,20.2814533135,11.6088506486
0.0138,19.9430766159,11.2320928182
0.014,19.3062704697,10.4785771575
0.0142,18.9702436102,10.1018193271
0.0144,21.7031054111,9.37185103074
0.0146,22.5255487734,8.99509320036
0.0148,22.0767296814,8.24157753959
0.015,23.5735766008,7.48806187883
0.0152,22.37515913,6.73454621807
0.0154,18.8574513777,6.35778838769
0.0156,15.3420934636,5.60427272692
0.0158,12.9452585221,4.87430443056
0.016,10.2523439702,4.49754660018
0.0162,6.09783007167,4.1207887698
0.0164,3.55530516317,3.36727310903
0.0166,0.411221681134,2.99051527865
0.0168,-4.82656761742,2.61375744827
0.017,-8.3066779589,2.61375744827
0.0172,-10.7011630622,2.23699961789
0.0174,-10.2147465594,1.86024178751
0.0176,-6.96022068296,1.48348395713
0.0178,-4.041721666,1.10672612675
0.018,0.56161132452,1.10672612675
0.0182,3.2545258764,1.10672612675
0.0184,5.87459544477,1.10672612675
0.0186,9.24191355371,0.729968296364
0.0188,12.1228151598,0.353210465983
