Latest: Time (s),Latest: Z-Axis Acceleration (m/s²),Latest: Potential (mV)
-0.02,0.006485056,0
-0.0198,0.006485056,0
-0.0196,0.04107202,0
-0.0194,0.006485056,0
-0.0192,0.04107202,0
-0.019,0.04107202,0
-0.0188,0.006485056,0
-0.0186,0.04107202,0
-0.0184,0.006485056,0
-0.0182,0.04107202,0
-0.018,0.04107202,0
-0.0178,0.006485056,0
-0.0176,0.006485056,0
-0.0174,0.04107202,0
-0.0172,0.006485056,0
-0.017,-0.028101908,0
-0.0168,0.006485056,0
-0.0166,-0.028101908,0
-0.0164,0.006485056,0
-0.0162,0.006485056,0
-0.016,-0.028101908,0
-0.0158,0.006485056,0
-0.0156,0.04107202,0
-0.0154,0.04107202,0
-0.0152,0.006485056,0
-0.015,0.04107202,0
-0.0148,0.006485056,0
-0.0146,-0.028101908,0
-0.0144,0.006485056,0
-0.0142,0.006485056,0
-0.014,0.006485056,0
-0.0138,0.006485056,0
-0.0136,0.04107202,-0.37675783
-0.0134,0.006485056,0
-0.0132,0.04107202,0
-0.013,0.04107202,-0.37675783
-0.0128,0.006485056,0
-0.0126,-0.028101908,0
-0.0124,0.006485056,0
-0.0122,0.04107202,0
-0.012,0.04107202,0
-0.0118,0.006485056,0
-0.0116,0.04107202,0
-0.0114,0.006485056,0
-0.0112,0.006485056,0
-0.011,0.006485056,0
-0.0108,0.006485056,0
-0.0106,0.006485056,0
-0.0104,0.006485056,0
-0.0102,0.006485056,0
-0.01,0.006485056,-0.37675783
-0.0098,0.006485056,0
-0.0096,0.006485056,-0.37675783
-0.0094,0.006485056,0
-0.0092,-0.028101908,0
-0.009,0.006485056,-0.37675783
-0.0088,0.006485056,0
-0.0086,0.006485056,0
-0.0084,0.006485056,-0.37675783
-0.0082,0.006485056,0
-0.008,0.04107202,0
-0.0078,0.006485056,0
-0.0076,-0.028101908,-0.37675783
-0.0074,-0.028101908,0
-0.0072,-0.028101908,-0.37675783
-0.007,-0.028101908,0
-0.0068,0.006485056,0
-0.0066,-0.028101908,-0.37675783
-0.0064,-0.028101908,0
-0.0062,0.006485056,0
-0.006,0.006485056,-0.37675783
-0.0058,-0.028101908,0
-0.0056,-0.028101908,0
-0.0054,0.006485056,-0.37675783
-0.0052,-0.028101908,-0.37675783
-0.005,-0.028101908,-0.37675783
-0.0048,0.006485056,-0.37675783
-0.0046,-0.028101908,-0.37675783
-0.0044,-0.028101908,-0.37675783
-0.0042,0.006485056,-0.37675783
-0.004,-0.028101908,0
-0.0038,0.006485056,0
-0.0036,-0.028101908,-0.37675783
-0.0034,-0.028101908,-0.37675783
-0.0032,0.006485056,-0.37675783
-0.003,-0.028101908,-0.37675783
-0.0028,-0.028101908,0
-0.0026,-0.028101908,-0.37675783
-0.0024,0.006485056,-0.37675783
-0.0022,0.006485056,-0.37675783
-0.002,0.04107202,0
-0.0018,-0.028101908,0.37675783
-0.0016,-0.507996036,1.883789152
-0.0014,-1.333759806,3.367273109
-0.0012,1.141369818,4.4975466
-0.001,2.89665825,6.004577922
-0.0008,-2.77776556,7.134851413
-0.0006,-5.460416969,7.864819709
-0.0004,-3.465181473,8.61833537
-0.0002,-0.577169965,9.748608861
-2.83E-17,-4.256358279,10.50212452
0.0002,-11.68607052,11.25564018
0.0004,-23.96228112,11.60885065
0.0006,-34.99984606,11.98560848
0.0008,-43.9405763,12.36236631
0.001,-50.99199362,12.36236631
0.0012,-56.90636449,12.73912414
0.0014,-61.68585061,12.73912414
0.0016,-65.57256071,12.36236631
0.0018,-68.70051928,11.98560848
0.002,-71.34858372,11.98560848
0.0022,-73.41299315,11.25564018
0.0024,-75.26988079,10.87888235
0.0026,-76.47393948,10.87888235
0.0028,-73.79128807,10.12536669
0.003,-64.64303604,9.371851031
0.0032,-50.47535084,8.9950932
0.0034,-32.04266062,8.61833537
0.0036,-14.81402909,7.864819709
0.0038,-0.406396829,7.134851413
0.004,11.4245066,6.381335752
0.0042,20.77811873,5.627820091
0.0044,28.24025625,5.251062261
0.0046,34.39457419,4.4975466
0.0048,39.34699512,4.4975466
0.005,43.40447835,3.744030939
0.0052,46.60377254,3.367273109
0.0054,43.47365228,3.014062643
0.0056,42.06423349,2.637304813
0.0058,40.79100087,2.260546982
0.006,36.25362351,1.883789152
0.0062,39.8636379,1.883789152
0.0064,44.02488202,1.883789152
0.0066,45.74342181,1.883789152
0.0068,48.63143332,1.883789152
0.007,51.07413766,1.883789152
0.0072,53.00019923,2.260546982
0.0074,54.68415205,2.260546982
0.0076,55.88821074,2.260546982
0.0078,56.91933461,3.014062643
0.008,57.84885927,3.014062643
0.0082,57.95262016,3.014062643
0.0084,57.67592445,3.367273109
0.0086,53.10396012,3.367273109
0.0088,50.8341906,3.367273109
0.009,38.55581831,3.744030939
0.0092,26.62331567,4.12078877
0.0094,24.69725411,4.12078877
0.0096,13.03928549,4.4975466
0.0098,-5.01294812,4.874304431
0.01,-17.97873632,5.251062261
0.0102,-27.22858755,6.004577922
0.0104,-32.21559544,6.381335752
0.0106,-30.70241576,7.134851413
0.0108,-16.98003772,7.488061879
0.011,-1.884989548,7.864819709
0.0112,10.35879577,8.61833537
0.0114,20.02152889,8.9950932
0.0116,27.72361347,9.371851031
0.0118,34.01627927,9.748608861
0.012,39.07246109,10.12536669
0.0122,41.54759072,10.50212452
0.0124,43.09535736,10.50212452
0.0126,46.50001165,10.87888235
0.0128,48.90812903,10.87888235
0.013,38.93411323,10.87888235
0.0132,24.00983819,10.87888235
0.0134,16.75522246,10.50212452
0.0136,8.225212418,10.50212452
0.0138,-8.383015442,10.50212452
0.014,-22.31075358,10.50212452
0.0142,-31.18230989,10.12536669
0.0144,-30.46030701,10.12536669
0.0146,-37.71708443,10.12536669
0.0148,-46.07415965,10.12536669
0.015,-49.34046608,9.748608861
0.0152,-41.77456767,9.371851031
0.0154,-37.89001925,9.371851031
0.0156,-36.41142654,9.371851031
0.0158,-22.96358253,8.9950932
0.016,-6.939009688,8.24157754
0.0162,6.232138607,8.24157754
0.0164,16.68604853,7.864819709
0.0166,24.97394982,7.488061879
0.0168,31.78109671,7.488061879
0.017,37.28474738,6.381335752
0.0172,37.90298937,6.004577922
0.0174,34.94580393,6.004577922
0.0176,35.08415179,5.251062261
0.0178,34.87663,4.4975466
0.018,29.10060698,4.4975466
0.0182,21.56929553,4.12078877
0.0184,20.02152889,3.367273109
0.0186,19.33411297,3.367273109
0.0188,12.21568341,3.014062643
0.019,1.863372695,2.637304813
0.0192,-2.19411054,2.637304813
0.0194,-0.473409072,2.260546982
0.0196,-2.708591632,2.260546982
0.0198,-6.355354667,1.883789152
0.02,-2.676166353,1.507031322
0.0202,9.016389223,1.507031322
0.0204,19.02499198,1.507031322
0.0206,25.86672583,1.507031322
0.0208,32.53768655,1.130273491
0.021,37.90298937,1.130273491
0.0212,41.48057847,1.130273491
0.0214,37.31933434,0.753515661
0.0216,32.15939163,0.753515661
0.0218,30.47543881,0.37675783
0.022,28.13649536,0
0.0222,19.74699486,0
0.0224,9.911326921,0
0.0226,3.927782119,0
0.0228,-1.264585878,0
0.023,-9.725421989,0
0.0232,-17.18755951,0
0.0234,-18.3916182,0
0.0236,-15.81272768,0
0.0238,-13.98826532,0
0.024,-11.10025381,0
0.0242,-6.251593775,0
0.0244,-0.268048972,0
0.0246,2.414602436,0
0.0248,3.996956047,0
0.025,7.74531829,0
0.0252,10.97703776,0
0.0254,11.35533268,0
0.0256,12.42104351,-0.37675783
0.0258,14.14174498,-0.37675783
0.026,14.45086597,-0.37675783
0.0262,12.59397833,-0.37675783
0.0264,8.089026246,-0.37675783
0.0266,2.827484321,0
0.0268,-2.124936612,0
0.027,-7.626425601,0
0.0272,-13.57538344,-0.37675783
0.0274,-19.18279501,0
0.0276,-24.71887096,-0.37675783
0.0278,-31.11529765,-0.37675783
0.028,-38.7482083,0
0.0282,-46.03957269,0
0.0284,-50.44076388,-0.37675783
0.0286,-53.43253628,0
0.0288,-55.25483696,0
0.029,-54.84195507,-0.37675783
0.0292,-51.95394356,0
0.0294,-47.58733933,0
0.0296,-44.42263211,-0.37675783
0.0298,-41.50003364,0
0.03,-37.92244453,0
0.0302,-34.17408229,0
0.0304,-32.25018241,0
0.0306,-31.01153675,0
0.0308,-29.91123896,-0.37675783
0.031,-29.567531,0
0.0312,-30.63324183,0
0.0314,-32.97218529,0
0.0316,-35.34355402,0
0.0318,-37.71708443,0
0.032,-41.22549961,-0.37675783
0.0322,-45.9358118,0
0.0324,-50.26999074,0
0.0326,-53.08882832,-0.37675783
0.0328,-54.98030293,0
0.033,-57.18089852,0
0.0332,-58.24660936,-0.37675783
0.0334,-56.76801664,0
0.0336,-54.18912612,0
0.0338,-51.37028854,-0.37675783
0.034,-47.51816541,0
0.0342,-44.07892416,0
0.0344,-41.39627275,0
0.0346,-39.57397207,0
0.0348,-37.99161846,-0.37675783
0.035,-35.92937072,0
0.0352,-32.79925046,0
0.0354,-30.01499985,-0.37675783
0.0356,-27.22858755,0
0.0358,-24.03145505,0
0.036,-22.4836884,0
0.0362,-22.24157965,-0.37675783
0.0364,-23.34187745,0
0.0366,-24.51134917,0
0.0368,-25.30252598,-0.37675783
0.037,-25.54463473,0
0.0372,-25.30252598,0
0.0374,-24.51134917,0
0.0376,-23.30729048,-0.37675783
0.0378,-21.82869777,0
0.038,-20.07557102,0
0.0382,-18.21868338,0
0.0384,-15.3998458,0
0.0386,-12.78636832,0
0.0388,-10.75654586,0
0.039,-8.316003199,0
0.0392,-5.734950997,0
0.0394,-3.225234409,0
0.0396,-1.299172842,0
0.0398,1.24513071,0
0.04,4.51143714,0
0.0402,8.225212418,0
0.0404,11.49368053,0
0.0406,14.48545293,0
0.0408,17.13351738,0
0.041,18.67912234,0
0.0412,19.88318103,0
0.0414,20.63977087,0
0.0416,21.22558758,0
0.0418,22.25671145,0
0.042,24.04442516,0
0.0422,25.66136573,0
0.0424,26.55414175,0
0.0426,26.6924896,0
0.0428,26.55414175,0
0.043,26.45254254,0
0.0432,26.07424762,-0.37675783
0.0434,26.41795557,0
0.0436,26.72707657,0
0.0438,26.34878165,-0.37675783
0.044,25.9013128,0
0.0442,25.76512663,0
0.0444,25.41925698,0
0.0446,24.56106793,0
0.0448,24.38813311,0
0.045,25.14472296,0
0.0452,26.4871295,0
0.0454,28.20566928,0
0.0456,29.44431494,0
0.0458,29.7880229,0
0.046,29.10060698,0
0.0462,28.92767216,0
0.0464,29.82260986,0
0.0466,31.6794975,0
0.0468,33.7763322,0
0.047,36.11527565,0
0.0472,38.55581831,0
0.0474,40.82558784,0
0.0476,41.9604726,0
0.0478,42.30418056,0
0.048,42.37335449,-0.37675783
0.0482,41.61676464,0
0.0484,40.44729292,0
0.0486,38.72875314,0
0.0488,36.97562639,0
0.049,35.28951188,0
0.0492,33.67257131,0
0.0494,32.02320546,0
0.0496,30.68079891,0
0.0498,29.51348887,0
0.05,27.68902651,0
0.0502,25.55760484,0
0.0504,24.00983819,0
0.0506,22.6004194,0
0.0508,20.9143049,0
0.051,18.57752313,0
0.0512,16.37692754,0
0.0514,14.62163911,0
0.0516,13.41758041,0
0.0518,12.62856529,0
0.052,11.97357466,0
0.0522,11.32074571,0
0.0524,10.66791676,0
0.0526,10.11668702,0
0.0528,8.981802259,0
0.053,8.089026246,0
0.0532,7.332436405,0
0.0534,6.266725571,0
0.0536,5.302613945,0
0.0538,4.51143714,0
0.054,3.341965413,0
0.0542,1.45049081,0
0.0544,-0.577169965,0
0.0546,-2.676166353,0
0.0548,-4.634653199,0
0.055,-6.424528596,0
0.0552,-8.383015442,0
0.0554,-10.13830387,0
0.0556,-11.68607052,0
0.0558,-12.99172842,0
0.056,-14.23037407,0
0.0562,-15.53603197,0
0.0564,-16.7055037,0
0.0566,-17.56585443,0
0.0568,-18.21868338,0
0.057,-18.63156526,0
0.0572,-18.97527322,0
0.0574,-19.66268913,0
0.0576,-20.14474495,0
0.0578,-20.55762683,0
0.058,-20.72839997,0
0.0582,-20.5922138,0
0.0584,-20.55762683,0
0.0586,-20.62680076,-0.37675783
0.0588,-20.5922138,0
0.059,-20.76298693,0
0.0592,-21.62333767,0
0.0594,-22.55286233,0
0.0596,-23.5839862,0
0.0598,-24.5805231,0
0.06,-25.16633981,0
0.0602,-25.51004776,0
0.0604,-25.92292965,0
0.0606,-26.61034556,0
0.0608,-27.40152237,0
0.061,-28.25971142,0
0.0612,-29.01630126,0
0.0614,-29.567531,0
0.0616,-29.7728911,0
0.0618,-30.04742513,0
0.062,-29.94582592,0
0.0622,-29.36000921,0
0.0624,-28.91470205,0
0.0626,-28.19053749,0
0.0628,-27.29776148,0
0.063,-26.23205064,0
0.0632,-24.99340499,0
