"Latest: Time (s)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,55.672366111,10.1018193271
0.0002,52.4154903964,10.4785771575
0.0004,39.8062587337,11.2320928182
0.0006,24.8753869513,11.985608479
0.0008,16.6063064033,12.3623663094
0.001,7.32679543871,12.3623663094
0.0012,-6.55604851636,13.1158819702
0.0014,-18.3804342276,13.1158819702
0.0016,-28.2944015002,13.1158819702
0.0018,-36.7514691025,13.1158819702
0.002,-43.824482018,13.1158819702
0.0022,-49.7366748736,13.1158819702
0.0024,-54.7136321344,12.7391241398
0.0026,-56.5089085023,12.3623663094
0.0028,-57.707325973,11.985608479
0.003,-60.0642136655,11.2320928182
0.0032,-57.8929631891,10.4785771575
0.0034,-46.5549939807,10.1018193271
0.0036,-37.0522483892,9.37185103074
0.0038,-32.2985257553,8.61833536997
0.004,-21.6725575148,7.86481970921
0.0042,-8.53931193851,7.11130404845
0.0044,2.53782523214,6.35778838769
0.0046,10.0220598288,5.60427272692
0.0048,15.8966552735,5.22751489654
0.005,23.0801105834,4.87430443056
0.0052,29.0674982607,4.49754660018
0.0054,34.1548979159,4.1207887698
0.0056,37.8229953116,3.36727310903
0.0058,41.6391325125,2.99051527865
0.006,44.7832159945,2.99051527865
0.0062,42.3135360696,2.61375744827
0.0064,28.3930947036,2.61375744827
0.0066,20.2368063881,2.61375744827
0.0068,25.9234147787,2.61375744827
0.007,31.7604128126,2.61375744827
0.0072,36.6621752517,2.61375744827
0.0074,40.7790917394,2.99051527865
0.0076,44.1840072592,2.99051527865
0.0078,47.0649088653,2.99051527865
0.008,49.4217965577,3.36727310903
0.0082,50.0962001148,3.74403093942
0.0084,48.6369506063,4.1207887698
0.0086,50.9186434771,4.49754660018
0.0088,52.7162696832,4.87430443056
0.009,48.5241583738,5.22751489654
0.0092,40.2174804149,5.22751489654
0.0094,38.0109823658,5.60427272692
0.0096,37.8981901333,5.9810305573
0.0098,28.7667189739,6.35778838769
0.01,12.1533630561,6.35778838769
0.0102,0.479366988293,6.73454621807
0.0104,-1.35350679047,6.73454621807
0.0106,-3.6375494994,7.11130404845
0.0108,-14.2635177399,7.11130404845
0.011,-24.6662513535,7.11130404845
0.0112,-27.0607364568,7.11130404845
0.0114,-24.5910565318,6.73454621807
0.0116,-29.2672345058,7.11130404845
0.0118,-37.6867046973,6.73454621807
0.012,-42.8140516015,6.35778838769
0.0122,-39.8579551736,5.9810305573
0.0124,-35.741038686,5.60427272692
0.0126,-37.7243021081,5.22751489654
0.0128,-42.5156221529,4.49754660018
0.013,-43.1876758717,4.1207887698
0.0132,-39.0731092222,3.74403093942
0.0134,-36.7514691025,2.99051527865
0.0136,-39.33394126,2.61375744827
0.0138,-39.8579551736,2.23699961789
0.014,-35.2546221831,1.86024178751
0.0142,-31.6264720364,1.10672612675
0.0144,-29.4552215601,1.10672612675
0.0146,-24.4406668884,0.729968296364
0.0148,-17.3700038111,0
0.015,-12.0570196908,0
0.0152,-7.94010320315,0
0.0154,-2.21589740177,0
0.0156,4.59628347598,0
0.0158,9.94686500708,0
0.016,12.5269873264,0
0.0162,12.3413501104,0
0.0164,12.4541423429,0
0.0166,13.9133918514,0
0.0168,14.6230429811,0
0.017,13.4645727594,0
0.0172,12.639779559,0
0.0174,13.7254047972,0
0.0176,14.7734326245,0
0.0178,12.865364024,0
0.018,8.56281032029,0
0.0182,4.37069901091,0
0.0184,0.0305478963128,0
0.0186,-4.61038250505,0
0.0188,-8.12809025738,0
0.019,-10.633017755,0
0.0192,-12.3930465503,0
0.0194,-12.917060464,0
0.0196,-13.0651002692,0
0.0198,-13.8522960588,0
0.02,-14.7123368319,0
0.0202,-15.6099750158,0
0.0204,-17.1820167569,0
0.0206,-17.6684332597,0
0.0208,-16.0587941078,0
0.021,-15.0483636913,0
0.0212,-16.5452106106,0
0.0214,-18.9044481413,0
0.0216,-20.2133080064,0
0.0218,-21.1109461903,0
0.022,-22.8709749856,0
0.0222,-25.7142791808,0
0.0224,-28.4071937327,0
0.0226,-29.6808060251,0
0.0228,-30.5032493874,0
0.023,-32.6369024529,0
0.0232,-35.1794273614,0
0.0234,-36.8266639241,0
0.0236,-37.4634700704,0
0.0238,-36.9394561567,0
0.024,-35.0689849671,0
0.0242,-33.1609163666,0
0.0244,-32.0000963067,0
0.0246,-30.7640814251,0
0.0248,-29.4928189709,0
0.025,-27.9959720516,0
0.0252,-26.4239303106,0
0.0254,-25.4510973049,0
0.0256,-25.1150704455,0
0.0258,-24.104640029,0
0.026,-22.3469610719,0
0.0262,-21.4093756389,0
0.0264,-22.4574034663,0
0.0266,-23.9918477964,0
0.0268,-24.8166409969,0
0.027,-24.330224494,0
0.0272,-23.0566122016,0
0.0274,-22.4198060554,0
0.0276,-22.4198060554,0
0.0278,-21.3741280662,0
0.028,-19.3908646441,0
0.0282,-17.7060306705,0
0.0284,-16.2843785729,0
0.0286,-14.5619471885,0
0.0288,-12.2426569069,0
0.029,-8.95053361965,0
0.0292,-5.05920159703,0
0.0294,-1.80232588245,0
0.0296,0.180937539699,0
0.0298,1.52739481564,0
0.03,3.1370339675,0
0.0302,5.12029738966,0
0.0304,7.25160061702,0
0.0306,8.67325271465,0
0.0308,9.4228510934,0
0.031,10.1325022231,0
0.0312,11.2181274613,0
0.0314,12.1533630561,0
0.0316,12.4165449321,0
0.0318,12.1533630561,0
0.032,12.7149743807,0
0.0322,14.660640392,0
0.0324,17.4287497655,0
0.0326,19.2639733825,0
0.0328,20.1240141556,0
0.033,21.2096393938,0
0.0332,22.92972094,0
0.0334,25.0257765947,0
0.0336,27.0090400169,0
0.0338,28.3554972928,0
0.034,29.3283302984,0
0.0342,30.2635658933,0
0.0344,31.013164272,0
0.0346,31.1635539154,0
0.0348,30.6395400017,0
0.035,29.5915121744,0
0.0352,28.7667189739,0
0.0354,28.992303439,0
0.0356,29.5915121744,0
0.0358,29.3283302984,0
0.036,28.0194704334,0
0.0362,26.7834555518,0
0.0364,26.4098312815,0
0.0366,26.4850261032,0
0.0368,26.3722338706,0
0.037,25.8106225461,0
0.0372,25.1385688272,0
0.0374,24.9881791839,0
0.0376,24.9129843622,0
0.0378,24.1657358216,0
0.038,22.295264632,0
0.0382,19.8984296905,0
0.0384,18.1407507334,0
0.0386,17.2431125495,0
0.0388,16.4206691872,0
0.039,14.9590698406,0
0.0392,13.0510012401,0
0.0394,11.3685171047,0
0.0396,10.170099634,0
0.0398,9.15966921748,0
0.04,7.81321194154,0
0.0402,6.05553298446,0
0.0404,4.29550418921,0
0.0406,2.94904691327,0
0.0408,1.82582426423,0
0.041,0.328977344907,0
0.0412,-1.8399232933,0
0.0414,-4.30960321828,0
0.0416,-5.95683978099,0
0.0418,-6.55604851636,0
0.042,-7.04246501919,0
0.0422,-8.35132488428,0
0.0424,-9.96096403615,0
0.0426,-11.1946290795,0
0.0428,-12.3178517286,0
0.043,-13.5891141828,0
0.0432,-15.1987533347,0
0.0434,-17.144419346,0
0.0436,-18.7540584979,0
0.0438,-19.614099271,0
0.044,-20.1381131847,0
0.0442,-21.1109461903,0
0.0444,-22.7205853422,0
0.0446,-24.2174322615,0
0.0448,-24.8894859804,0
0.045,-25.0398756238,0
0.0452,-25.0774730346,0
0.0454,-25.4134998941,0
0.0456,-25.8999163969,0
0.0458,-26.1630982728,0
0.046,-25.862318986,0
0.0462,-25.7142791808,0
0.0464,-26.0879034511,0
0.0466,-26.6871121865,0
0.0468,-26.7623070082,0
0.047,-25.7894740025,0
0.0472,-24.7038487643,0
0.0474,-24.2926270832,0
0.0476,-24.4406668884,0
0.0478,-24.5910565318,0
0.048,-24.0294452073,0
0.0482,-23.0942096125,0
0.0484,-22.3469610719,0
0.0486,-21.7853497474,0
0.0488,-21.0357513686,0
0.049,-19.9877235413,0
0.0492,-18.5660714436,0
0.0494,-17.3700038111,0
0.0496,-16.6204054323,0
0.0498,-16.1339889295,0
0.05,-14.937921297,0
0.0502,-12.9922552856,0
0.0504,-10.8210048093,0
0.0506,-9.32415788993,0
0.0508,-8.31372747343,0
0.051,-7.22810223524,0
0.0512,-5.80645013761,0
0.0514,-4.16156341307,0
0.0516,-2.70231390459,0
0.0518,-1.6166886664,0
0.052,-0.568660839053,0
0.0522,1.07857572366,0
0.0524,3.06183914581,0
0.0526,4.29550418921,0
0.0528,4.78192069204,0
0.053,5.34353201656,0
0.0532,6.42915725475,0
0.0534,8.14923880098,0
0.0536,9.75887795285,0
0.0538,11.0677378179,0
0.054,12.0405708236,0
0.0542,12.9029614349,0
0.0544,14.2118213,0
0.0546,15.5206811651,0
0.0548,16.3830717764,0
0.055,16.9423332627,0
0.0552,17.6543342306,0
0.0554,18.887999274,0
0.0556,20.2368063881,0
0.0558,20.908860107,0
0.056,20.7608203018,0
0.0562,20.6480280693,0
0.0564,20.9464575179,0
0.0566,21.6208610749,0
0.0568,22.032082756,0
0.057,21.9944853452,0
0.0572,21.7336533075,0
0.0574,21.4328740207,0
0.0576,21.4328740207,0
0.0578,21.3952766098,0
0.058,20.7984177126,0
0.0582,19.9360271014,0
0.0584,19.4120131877,0
0.0586,19.3015707933,0
0.0588,19.0383889174,0
0.059,18.253542966,0
0.0592,17.355904782,0
0.0594,16.3454743655,0
0.0596,15.7086682193,0
0.0598,15.7462656302,0
0.06,15.6334733976,0
0.0602,14.6982378028,0
0.0604,13.3517805269,0
0.0606,12.1533630561,0
0.0608,11.4061145156,0
0.061,10.8821006019,0
0.0612,9.64608572031,0
0.0614,8.14923880098,0
0.0616,7.02836599012,0
0.0618,6.39155984391,0
0.062,5.53151907079,0
0.0622,4.14511454583,0
0.0624,2.57542264299,0
0.0626,1.26421293971,0
0.0628,0.629756631679,0
0.063,0.216185112367,0
0.0632,-0.418271195667,0
0.0634,-1.35350679047,0
0.0636,-2.40153461782,0
0.0638,-3.33677021263,0
0.064,-4.01117376969,0
0.0642,-4.94640936449,0
0.0644,-6.44325628382,0
0.0646,-7.94010320315,0
0.0648,-9.02572844134,0
0.065,-9.77297698191,0
0.0652,-10.4097831281,0
0.0654,-11.3826161338,0
0.0656,-12.6914759989,0
0.0658,-13.7395038262,0
0.066,-14.3011151507,0
0.0662,-14.6371420102,0
0.0664,-15.3867403889,0
0.0666,-16.3219759837,0
0.0668,-16.9211847191,0
0.067,-17.0316271135,0
0.0672,-17.0316271135,0
0.0674,-17.3700038111,0
0.0676,-18.1924471734,0
0.0678,-18.8292533196,0
0.068,-18.9044481413,0
0.0682,-18.5660714436,0
0.0684,-17.9668627083,0
0.0686,-17.6684332597,0
0.0688,-17.6684332597,0
0.069,-17.4076012219,0
0.0692,-16.6204054323,0
0.0694,-15.9859491243,0
0.0696,-15.6851698375,0
0.0698,-15.4619352106,0
0.07,-14.9755187078,0
0.0702,-14.1507255074,0
0.0704,-13.1778925017,0
0.0706,-12.7666708206,0
