Latest: Time (s),Latest: Z-Axis Acceleration (m/s²),Latest: Potential (mV)
-0.02,0.25075549,0.353210466
-0.0198,0.114569319,0.729968296
-0.0196,-0.023778538,0.353210466
-0.0194,-0.159964709,0.353210466
-0.0192,-0.194551673,0.729968296
-0.019,-0.12753943,0.729968296
-0.0188,-0.023778538,0.353210466
-0.0186,0.010808426,0.729968296
-0.0184,0.079982355,0.729968296
-0.0182,0.149156283,0.353210466
-0.018,0.25075549,0.729968296
-0.0178,0.285342454,0.729968296
-0.0176,0.25075549,0.353210466
-0.0174,0.149156283,0.729968296
-0.0172,0.149156283,0.353210466
-0.017,0.079982355,0.353210466
-0.0168,-0.023778538,0.353210466
-0.0166,-0.12753943,0.353210466
-0.0164,-0.159964709,0.353210466
-0.0162,-0.159964709,0.353210466
-0.016,-0.159964709,0.353210466
-0.0158,-0.159964709,0.353210466
-0.0156,-0.159964709,0.729968296
-0.0154,-0.092952466,0.353210466
-0.0152,0.010808426,0.353210466
-0.015,0.010808426,0.729968296
-0.0148,0.010808426,0.729968296
-0.0146,0.010808426,0.353210466
-0.0144,0.010808426,0.353210466
-0.0142,0.010808426,0.353210466
-0.014,0.010808426,0.353210466
-0.0138,0.04539539,0.353210466
-0.0136,0.079982355,0.729968296
-0.0134,0.010808426,0.353210466
-0.0132,-0.058365502,0.353210466
-0.013,-0.092952466,0.729968296
-0.0128,-0.092952466,0.353210466
-0.0126,-0.023778538,0.353210466
-0.0124,0.010808426,0.729968296
-0.0122,0.04539539,0.353210466
-0.012,0.114569319,0.353210466
-0.0118,0.149156283,0.729968296
-0.0116,0.114569319,0.353210466
-0.0114,0.079982355,0.353210466
-0.0112,0.010808426,0.353210466
-0.011,-0.092952466,0.729968296
-0.0108,-0.159964709,0.353210466
-0.0106,-0.12753943,0.353210466
-0.0104,-0.159964709,0.353210466
-0.0102,-0.194551673,0.353210466
-0.01,-0.159964709,0.353210466
-0.0098,-0.194551673,0.353210466
-0.0096,-0.159964709,0.353210466
-0.0094,-0.058365502,0.353210466
-0.0092,0.010808426,0.353210466
-0.009,0.010808426,0.353210466
-0.0088,0.010808426,0.353210466
-0.0086,-0.023778538,0.353210466
-0.0084,-0.023778538,0.353210466
-0.0082,-0.12753943,0.729968296
-0.008,-0.12753943,0.353210466
-0.0078,-0.159964709,0.353210466
-0.0076,-0.12753943,0.729968296
-0.0074,-0.12753943,0.353210466
-0.0072,-0.12753943,0.353210466
-0.007,-0.12753943,0.729968296
-0.0068,-0.092952466,0.353210466
-0.0066,-0.092952466,0.353210466
-0.0064,-0.023778538,0.353210466
-0.0062,0.010808426,0.353210466
-0.006,0.010808426,0.353210466
-0.0058,0.010808426,0.353210466
-0.0056,-0.023778538,0.353210466
-0.0054,-0.092952466,0.353210466
-0.0052,-0.092952466,0.353210466
-0.005,-0.058365502,0.353210466
-0.0048,-0.023778538,0.353210466
-0.0046,-0.058365502,0.353210466
-0.0044,-0.092952466,0.353210466
-0.0042,-0.12753943,0.353210466
-0.004,-0.159964709,0.353210466
-0.0038,-0.159964709,0.353210466
-0.0036,-0.12753943,0.353210466
-0.0034,-0.12753943,0.729968296
-0.0032,-0.12753943,0.353210466
-0.003,-0.092952466,0.353210466
-0.0028,-0.159964709,1.106726127
-0.0026,-0.229138638,1.860241788
-0.0024,-0.814955343,2.613757448
-0.0022,-5.903562448,3.367273109
-0.002,-14.15687677,3.744030939
-0.0018,-21.75736215,4.12078877
-0.0016,-25.29820261,4.473999236
-0.0014,-26.70978308,5.604272727
-0.0012,-24.88532072,6.734546218
-0.001,-24.12873088,7.488061879
-0.0008,-29.80315469,7.864819709
-0.0006,-39.53506174,8.24157754
-0.0004,-46.6534913,8.594788006
-0.0002,-50.64396229,9.348303666
4.16E-16,-50.81473543,10.10181933
0.0002,-46.58647906,10.47857716
0.0004,-42.76894289,11.23209282
0.0006,-41.87400519,11.23209282
0.0008,-41.39194938,11.60885065
0.001,-39.63882263,11.60885065
0.0012,-39.08975457,11.98560848
0.0014,-40.80829436,11.98560848
0.0016,-42.42523493,12.36236631
0.0018,-45.41700733,11.98560848
0.002,-49.81819852,11.98560848
0.0022,-52.01879412,11.98560848
0.0024,-51.77884706,11.60885065
0.0026,-53.25743977,11.60885065
0.0028,-53.3266137,11.60885065
0.003,-49.06160868,11.23209282
0.0032,-45.27865948,10.85533499
0.0034,-41.73565733,10.47857716
0.0036,-36.5778763,10.10181933
0.0038,-32.72791485,9.725061497
0.004,-30.97262642,9.348303666
0.0042,-26.57143523,8.971545836
0.0044,-19.65836576,8.24157754
0.0046,-13.19492683,7.864819709
0.0048,-5.594441455,7.488061879
0.005,3.380875748,7.111304048
0.0052,11.05053505,6.357788388
0.0054,18.82179357,5.981030557
0.0056,26.62763904,5.604272727
0.0058,32.98947877,5.604272727
0.006,36.32495912,4.850757066
0.0062,38.49096776,4.473999236
0.0064,40.52079022,4.473999236
0.0066,40.41702932,3.744030939
0.0068,40.62455111,3.367273109
0.007,42.37767786,3.367273109
0.0072,44.64744738,2.990515279
0.0074,46.05686617,2.613757448
0.0076,48.73951758,2.990515279
0.0078,51.18006024,2.613757448
0.008,52.41870589,2.236999618
0.0082,52.04041097,2.613757448
0.0084,53.2098827,2.236999618
0.0086,54.82682327,1.860241788
0.0088,55.996295,2.236999618
0.009,57.06200583,2.236999618
0.0092,57.8877696,1.860241788
0.0094,57.8877696,2.236999618
0.0096,57.8877696,1.860241788
0.0098,57.8877696,1.860241788
0.01,57.8877696,1.860241788
0.0102,57.26736593,1.860241788
0.0104,55.03218337,1.860241788
0.0106,48.84327847,1.860241788
0.0108,42.34309089,1.860241788
0.011,38.52555472,2.236999618
0.0112,31.54547301,2.236999618
0.0114,20.7824421,2.236999618
0.0116,14.42060238,2.236999618
0.0118,9.881063328,2.613757448
0.012,6.647182177,2.236999618
0.0122,7.267585847,2.613757448
0.0124,13.07819583,2.613757448
0.0126,21.8827399,2.990515279
0.0128,29.37946438,2.990515279
0.013,35.36300918,2.990515279
0.0132,40.31543012,3.367273109
0.0134,44.19997853,3.367273109
0.0136,47.431698,4.12078877
0.0138,50.1143494,4.473999236
0.014,52.24793276,4.12078877
0.0142,54.03564647,4.473999236
0.0144,55.44506526,4.850757066
0.0146,55.23970516,4.850757066
0.0148,51.97123704,5.227514897
0.015,48.08668863,5.604272727
0.0152,41.06985827,5.604272727
0.0154,31.61464694,5.604272727
0.0156,20.71326817,5.981030557
0.0158,7.438358983,5.981030557
0.016,-6.521804432,6.357788388
0.0162,-19.55676656,6.357788388
0.0164,-30.11227569,6.357788388
0.0166,-37.60900017,6.357788388
0.0168,-41.22117624,6.357788388
0.017,-41.87400519,6.734546218
0.0172,-40.42999944,7.111304048
0.0174,-37.26529221,7.111304048
