Latest: Time (s),Latest: Z-Axis Acceleration (m/s²),Latest: Potential (mV)
0,-32.85113091,10.17246142
0.0002,-30.75429621,10.17246142
0.0004,-30.03013165,10.17246142
0.0006,-29.82477155,10.92597708
0.0008,-28.14081873,11.30273491
0.001,-27.82953605,11.30273491
0.0012,-30.40842657,11.30273491
0.0014,-33.4693729,10.92597708
0.0016,-36.87402718,10.92597708
0.0018,-39.28214456,10.92597708
0.002,-40.38244236,10.54921925
0.0022,-40.45161629,10.92597708
0.0024,-40.48620325,10.17246142
0.0026,-40.62238942,10.17246142
0.0028,-38.00891194,9.79570359
0.003,-34.29513666,9.41894576
0.0032,-31.13259113,9.042187929
0.0034,-27.69334988,8.665430099
0.0036,-23.18839779,8.288672268
0.0038,-17.82309498,7.935461802
0.004,-10.94461248,7.558703972
0.0042,-2.142230094,6.805188311
0.0044,5.285320463,6.805188311
0.0046,11.85468197,6.051672651
0.0048,19.59135352,5.67491482
0.005,27.12266497,5.29815699
0.0052,32.55498003,4.921399159
0.0054,36.33792924,4.544641329
0.0056,38.88439447,4.167883499
0.0058,39.22810243,3.814673033
0.006,38.71145965,3.814673033
0.0062,39.12434154,3.061157372
0.0064,39.57181039,2.684399541
0.0066,39.84634442,2.684399541
0.0068,40.53376033,2.307641711
0.007,41.63405813,2.307641711
0.0072,43.69846755,2.307641711
0.0074,46.31194503,1.55412605
0.0076,46.82642612,1.55412605
0.0078,45.2462342,1.55412605
0.008,45.93365011,1.17736822
0.0082,48.85624858,1.17736822
0.0084,51.19519203,1.17736822
0.0086,51.60807392,0.80061039
0.0088,52.91373182,0.80061039
0.009,54.59984632,0.80061039
0.0092,55.90550422,0.80061039
0.0094,56.90204112,0.80061039
0.0096,56.35297307,0.80061039
0.0098,54.73603249,0.80061039
0.01,51.77884706,0.80061039
0.0102,47.58301596,0.80061039
0.0104,43.01105164,0.80061039
0.0106,38.3677517,0.80061039
0.0108,32.17668511,0.80061039
0.011,23.0997687,0.80061039
0.0112,16.25587316,0.80061039
0.0114,11.44180009,0.80061039
0.0116,8.071732764,0.80061039
0.0118,7.451329094,0.80061039
0.012,11.13267909,1.17736822
0.0122,19.90047451,1.17736822
0.0124,27.74090695,1.17736822
0.0126,34.10274668,1.17736822
0.0128,39.22810243,1.17736822
0.013,43.42177184,1.930883881
0.0132,46.82642612,1.930883881
0.0134,49.61283842,1.930883881
0.0136,51.77884706,1.930883881
0.0138,53.70490862,2.307641711
0.014,55.18350134,2.307641711
0.0142,54.94355428,2.684399541
0.0144,52.77538396,2.684399541
0.0146,49.06160868,3.061157372
0.0148,43.28558567,3.437915202
0.015,34.92851045,3.437915202
0.0152,24.26924042,3.437915202
0.0154,12.54209788,3.814673033
0.0156,1.297011157,4.167883499
0.0158,-10.08642343,4.167883499
0.016,-20.43657246,4.167883499
0.0162,-27.52041506,4.167883499
0.0164,-31.19960337,4.167883499
0.0166,-32.33448813,4.544641329
0.0168,-32.50742295,4.921399159
0.017,-30.99424327,4.167883499
0.0172,-27.76252381,4.921399159
0.0174,-23.9795746,4.921399159
0.0176,-19.57622172,4.544641329
0.0178,-15.14044357,4.921399159
0.018,-9.742715471,4.921399159
0.0182,-4.239064797,4.544641329
0.0184,0.196713359,4.544641329
0.0186,3.979662565,4.544641329
0.0188,7.384316851,4.544641329
0.019,9.377390662,4.167883499
0.0192,7.485916059,4.167883499
0.0194,2.879364768,4.167883499
0.0196,-1.28187936,4.167883499
0.0198,-5.203176423,3.814673033
0.02,-9.708128507,3.814673033
0.0202,-15.72626027,3.437915202
0.0204,-22.67175502,3.437915202
0.0206,-27.31505496,2.684399541
0.0208,-29.9631194,2.684399541
0.021,-32.47283599,2.307641711
0.0212,-34.77719248,2.307641711
0.0214,-35.60295625,2.307641711
0.0216,-35.70455546,1.930883881
0.0218,-35.77372938,1.17736822
0.022,-35.12090043,1.17736822
0.0222,-34.70801855,1.17736822
0.0224,-35.32626053,0.80061039
0.0226,-35.46460839,0.80061039
0.0228,-35.39543446,0.80061039
0.023,-35.32626053,0.047094729
0.0232,-35.25924829,0.047094729
0.0234,-34.91337865,0.047094729
0.0236,-34.94796561,0.047094729
0.0238,-34.32972363,0.047094729
0.024,-33.1602519,-0.306115737
0.0242,-31.57789829,-0.306115737
0.0244,-29.72101065,-0.306115737
0.0246,-27.93329694,-0.306115737
0.0248,-26.79841218,-0.306115737
0.025,-26.52387815,-0.306115737
0.0252,-26.76382522,-0.306115737
0.0254,-26.59305208,-0.306115737
0.0256,-26.0764093,0.047094729
0.0258,-25.93806145,-0.306115737
0.026,-25.38899339,-0.306115737
0.0262,-23.91040067,0.047094729
0.0264,-22.56799412,-0.306115737
0.0266,-21.50228329,-0.306115737
0.0268,-20.71110649,-0.306115737
0.027,-20.84945434,-0.306115737
0.0272,-20.88404131,-0.306115737
0.0274,-20.19662539,-0.306115737
0.0276,-19.47462252,-0.306115737
0.0278,-18.75261964,-0.306115737
0.028,-17.65232184,-0.306115737
0.0282,-16.96274424,-0.306115737
0.0284,-16.79197111,-0.306115737
0.0286,-16.58444932,-0.306115737
0.0288,-16.79197111,-0.306115737
0.029,-17.27402692,-0.306115737
0.0292,-17.47938702,-0.306115737
0.0294,-17.37562613,-0.306115737
0.0296,-16.96274424,-0.306115737
0.0298,-16.27532833,0.047094729
0.03,-16.0007943,-0.306115737
0.0302,-15.76084724,-0.306115737
0.0304,-15.31337839,-0.306115737
0.0306,-14.59137551,-0.306115737
0.0308,-13.31814289,-0.306115737
0.031,-11.66877704,-0.306115737
0.0312,-10.08642343,-0.306115737
0.0314,-8.434895888,-0.306115737
0.0316,-7.163824955,-0.306115737
0.0318,-6.439660392,-0.306115737
0.032,-5.581471344,-0.306115737
0.0322,-4.928642395,-0.306115737
0.0324,-4.686533646,-0.306115737
0.0326,-3.89535684,-0.306115737
0.0328,-2.658872871,-0.306115737
0.033,-1.867696065,-0.306115737
0.0332,-1.180280152,0.047094729
