"Latest: Time (s)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,-49.4358955868,10.4785771575
0.0002,-45.3941739208,11.2320928182
0.0004,-43.072533801,11.2320928182
0.0006,-41.2396600223,11.2320928182
0.0008,-36.5258846374,11.6088506486
0.001,-31.7369144308,11.6088506486
0.0012,-30.6512891926,11.985608479
0.0014,-31.5113299657,12.3623663094
0.0016,-32.78259242,12.7391241398
0.0018,-34.6178160369,13.1158819702
0.002,-37.6843548591,12.3623663094
0.0022,-40.7156461086,11.985608479
0.0024,-46.1038250505,11.985608479
0.0026,-49.2103111217,11.985608479
0.0028,-49.6967276245,11.985608479
0.003,-51.1935745439,11.6088506486
0.0032,-54.8240745287,11.6088506486
0.0034,-54.523295242,10.8553349879
0.0036,-52.3896421764,10.4785771575
0.0038,-50.4439761651,10.1018193271
0.004,-46.4422017481,9.37185103074
0.0042,-40.9036331628,8.99509320036
0.0044,-34.0186073016,8.99509320036
0.0046,-24.3654720667,8.24157753959
0.0048,-13.4763219503,7.86481970921
0.005,-4.68322748857,7.48806187883
0.0052,4.9346601736,6.73454621807
0.0054,13.9509892622,6.35778838769
0.0056,21.397626448,5.9810305573
0.0058,27.7962358065,5.60427272692
0.006,33.0363749432,5.22751489654
0.0062,37.5621632738,4.87430443056
0.0064,41.4182477238,4.49754660018
0.0066,44.5975787785,4.1207887698
0.0068,47.3656881521,4.1207887698
0.007,49.6873282718,3.36727310903
0.0072,51.7081891048,2.99051527865
0.0074,53.3530758294,2.99051527865
0.0076,54.774727927,2.61375744827
0.0078,56.0483402194,2.61375744827
0.008,57.0963680468,2.61375744827
0.0082,57.9564088199,2.23699961789
0.0084,58.7036573605,2.23699961789
0.0086,59.3780609175,1.86024178751
0.0088,59.9772696529,1.86024178751
0.009,60.4636861557,1.86024178751
0.0092,60.837310426,1.86024178751
0.0094,61.2109346963,2.23699961789
0.0096,61.4365191614,2.23699961789
0.0098,61.73494861,2.23699961789
0.01,61.960533075,2.23699961789
0.0102,62.1461702911,2.61375744827
0.0104,62.2589625236,2.61375744827
0.0106,62.409352167,2.61375744827
0.0108,62.5221443996,2.61375744827
0.011,62.6701842048,2.99051527865
0.0112,62.7453790265,3.36727310903
0.0114,62.8205738481,3.36727310903
0.0116,62.858171259,3.36727310903
0.0118,62.9709634915,4.1207887698
0.012,62.858171259,4.49754660018
0.0122,60.5012835666,4.49754660018
0.0124,56.5347567222,4.87430443056
0.0126,51.9314237317,5.22751489654
0.0128,46.5432447898,5.60427272692
0.013,39.994245788,5.60427272692
0.0132,34.9068461328,5.9810305573
0.0134,30.2283183206,6.35778838769
0.0136,24.7296969843,6.35778838769
0.0138,20.6503779074,6.73454621807
0.014,17.3582546202,7.11130404845
0.0142,14.0261840839,7.11130404845
0.0144,10.7716582075,7.48806187883
0.0146,8.60040773114,7.48806187883
0.0148,6.39390968208,7.86481970921
0.015,4.9346601736,7.86481970921
0.0152,3.40021584343,8.24157753959
0.0154,1.34175759958,8.24157753959
0.0156,-0.641505822568,8.24157753959
0.0158,-2.84800387162,8.24157753959
0.016,-5.84169771028,8.24157753959
0.0162,-10.0338090197,8.24157753959
