"Latest: Time (s)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,-70.6502346569,10.4785771575
0.0002,-69.7149990621,10.8553349879
0.0004,-70.3518052083,11.2320928182
0.0006,-72.0718867546,10.8553349879
0.0008,-71.9990417711,10.4785771575
0.001,-69.4165696135,11.2320928182
0.0012,-66.9092922777,11.2320928182
0.0014,-65.0388210881,11.6088506486
0.0016,-63.2787922928,11.6088506486
0.0018,-62.6443359848,11.2320928182
0.002,-63.4667793471,10.8553349879
0.0022,-64.813236623,10.4785771575
0.0024,-66.1244463263,10.1018193271
0.0026,-66.834097456,9.37185103074
0.0028,-65.2244583041,9.37185103074
0.003,-60.7339175462,8.99509320036
0.0032,-55.5713230693,8.61833536997
0.0034,-51.5296014033,7.86481970921
0.0036,-47.6006719698,7.48806187883
0.0038,-43.1101312119,7.11130404845
0.004,-37.1250933727,6.35778838769
0.0042,-29.5656639544,5.9810305573
0.0044,-20.8853617252,5.60427272692
0.0046,-10.3322384683,5.22751489654
0.0048,0.855341096758,4.49754660018
0.005,10.5084763316,4.49754660018
0.0052,18.5167248419,4.1207887698
0.0054,25.2513610598,3.36727310903
0.0056,30.9027218776,2.99051527865
0.0058,35.6540946734,2.99051527865
0.006,39.7334137502,2.61375744827
0.0062,43.2511215025,2.61375744827
0.0064,46.2072179304,2.61375744827
0.0066,48.6768978553,2.61375744827
0.0068,50.8082010827,2.23699961789
0.007,52.6434246996,2.23699961789
0.0072,54.140271619,2.23699961789
0.0074,55.4867288949,2.23699961789
0.0076,56.6099515439,2.23699961789
0.0078,57.5827845496,2.61375744827
0.008,58.367630501,2.61375744827
0.0082,59.0420340581,2.61375744827
0.0084,59.6036453826,2.61375744827
0.0086,60.2005042798,2.61375744827
0.0088,60.6493233718,2.99051527865
0.009,61.0252974802,3.36727310903
0.0092,61.3237269288,3.74403093942
0.0094,61.5845589666,4.1207887698
0.0096,61.8101434316,4.49754660018
0.0098,61.9981304859,4.49754660018
0.01,62.1837677019,5.22751489654
0.0102,62.3341573453,5.60427272692
0.0104,62.4845469887,5.60427272692
0.0106,62.5597418104,5.9810305573
0.0108,62.6701842048,6.35778838769
0.011,62.7453790265,7.11130404845
0.0112,61.73494861,7.48806187883
0.0114,59.714087777,7.86481970921
0.0116,57.3947974954,8.24157753959
0.0118,53.7267000997,8.61833536997
0.012,48.6393004445,8.99509320036
0.0122,42.8398998214,9.37185103074
0.0124,35.7668869059,9.37185103074
0.0126,28.6586264177,9.74860886112
0.0128,21.0240021777,10.1018193271
0.013,13.5021701702,10.4785771575
0.0132,6.57954689814,10.4785771575
0.0134,0.444119415624,10.4785771575
0.0136,-5.0944491697,10.4785771575
0.0138,-9.84582196543,10.4785771575
0.014,-13.8499462206,10.8553349879
