"Latest: Time (s)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,-57.9658081726,10.1018193271
0.0002,-61.3331262815,10.4785771575
0.0004,-63.8028062065,11.2320928182
0.0006,-63.4291819362,11.6088506486
0.0008,-63.5419741688,11.6088506486
0.001,-61.3707236924,11.2320928182
0.0012,-57.8530159401,11.2320928182
0.0014,-55.7969075344,11.2320928182
0.0016,-56.2833240372,10.4785771575
0.0018,-56.0577395721,10.4785771575
0.002,-56.095336983,10.1018193271
0.0022,-56.1329343938,10.1018193271
0.0024,-54.9721143339,9.37185103074
0.0026,-55.646517891,8.99509320036
0.0028,-57.4793916698,8.61833536997
0.003,-57.4041968481,7.86481970921
0.0032,-56.4689612533,7.48806187883
0.0034,-57.2561570429,7.11130404845
0.0036,-55.8697525179,6.73454621807
0.0038,-53.2520327877,5.9810305573
0.004,-49.2103111217,5.9810305573
0.0042,-45.5046163152,5.60427272692
0.0044,-41.2772574331,5.60427272692
0.0046,-36.4882872265,5.22751489654
0.0048,-29.6032613653,4.49754660018
0.005,-22.4550536281,4.49754660018
0.0052,-15.4219879616,4.1207887698
0.0054,-4.86886470462,4.1207887698
0.0056,5.68190871418,4.49754660018
0.0058,14.1013789056,4.1207887698
0.006,21.5480160914,4.49754660018
0.0062,27.7962358065,4.1207887698
0.0064,33.0363749432,4.1207887698
0.0066,37.524565863,4.49754660018
0.0068,41.3806503129,4.49754660018
0.007,44.5599813676,4.87430443056
0.0072,47.3304405794,5.22751489654
0.0074,49.649730861,5.22751489654
0.0076,51.6329942831,5.60427272692
0.0078,53.3154784185,5.60427272692
0.008,54.7371305162,5.9810305573
0.0082,56.0107428086,6.35778838769
0.0084,57.0211732251,6.73454621807
0.0086,57.918811409,7.11130404845
0.0088,58.6660599496,7.48806187883
0.009,59.3028660958,7.86481970921
0.0092,59.9020748312,8.24157753959
0.0094,60.388491334,8.24157753959
0.0096,60.3132965123,8.61833536997
0.0098,60.7621156043,8.61833536997
0.01,61.0981424637,8.99509320036
0.0102,61.3989217505,8.99509320036
0.0104,61.6597537883,9.37185103074
0.0106,61.8853382533,9.37185103074
0.0108,62.0733253076,9.37185103074
0.011,62.2589625236,9.37185103074
0.0112,62.3717547562,9.37185103074
0.0114,62.4845469887,9.37185103074
0.0116,62.5597418104,9.37185103074
0.0118,62.7077816156,9.37185103074
0.012,62.7453790265,9.37185103074
0.0122,62.8205738481,8.99509320036
0.0124,62.858171259,8.99509320036
0.0126,61.5845589666,8.99509320036
0.0128,55.897950576,8.61833536997
0.013,50.5473690449,8.61833536997
0.0132,47.3304405794,8.61833536997
0.0134,42.5391205346,8.24157753959
0.0136,36.8149147333,8.24157753959
0.0138,33.2220121592,7.86481970921
0.014,30.5290976074,7.86481970921
0.0142,26.8610002116,7.48806187883
0.0144,21.6608083239,7.11130404845
0.0146,18.0679057499,7.11130404845
0.0148,15.5606284141,7.11130404845
0.015,12.8677138622,7.11130404845
0.0152,9.91161743441,7.11130404845
0.0154,9.64843555848,7.11130404845
0.0156,10.1724494722,7.11130404845
0.0158,8.63800514198,7.11130404845
