Latest: Time (s),Latest: Z-Axis Acceleration (m/s²),Latest: Potential (mV)
0,-46.57134726,10.17246142
0.0002,-48.87570375,10.54921925
0.0004,-49.08322554,10.92597708
0.0006,-49.3231726,10.92597708
0.0008,-52.69323992,10.92597708
0.001,-58.0931297,10.92597708
0.0012,-62.63050707,11.30273491
0.0014,-66.41345627,11.30273491
0.0016,-69.40522867,11.30273491
0.0018,-71.88251998,10.92597708
0.002,-72.60452286,10.92597708
0.0022,-71.95169391,10.54921925
0.0024,-69.99104538,10.17246142
0.0026,-65.93356214,9.79570359
0.0028,-58.2984898,9.41894576
0.003,-48.87570375,9.042187929
0.0032,-40.07332137,8.665430099
0.0034,-31.44171212,8.288672268
0.0036,-24.11576077,7.935461802
0.0038,-17.82309498,7.181946142
0.004,-13.28355593,6.805188311
0.0042,-8.642417673,6.428430481
0.0044,-0.732811303,5.67491482
0.0046,9.342803698,5.67491482
0.0048,19.2130586,5.29815699
0.005,26.94973015,4.544641329
0.0052,33.3807438,4.167883499
0.0054,38.5731118,4.167883499
0.0056,42.2544618,3.437915202
0.0058,44.24753561,3.061157372
0.006,45.07329938,3.061157372
0.0062,45.3478334,2.684399541
0.0064,45.10788634,2.684399541
0.0066,46.03524932,2.307641711
0.0068,47.30848194,1.930883881
0.007,49.47449057,2.307641711
0.0072,51.33137821,1.930883881
0.0074,53.22285281,1.930883881
0.0076,54.83979338,1.930883881
0.0078,56.04385208,1.930883881
0.008,57.10956291,1.930883881
0.0082,57.93532668,1.930883881
0.0084,57.96991364,1.930883881
0.0086,57.96991364,1.930883881
0.0088,57.96991364,1.930883881
0.009,57.96991364,1.930883881
0.0092,57.96991364,1.930883881
0.0094,57.96991364,2.307641711
0.0096,57.96991364,2.307641711
0.0098,57.96991364,2.307641711
0.01,54.08320354,2.307641711
0.0102,45.69154136,2.307641711
0.0104,36.13256914,2.307641711
0.0106,22.79064771,2.307641711
0.0108,9.824859511,2.684399541
0.011,3.463019788,3.061157372
0.0112,-1.969295273,3.061157372
0.0114,-6.785530034,3.437915202
0.0116,-7.782066939,3.814673033
0.0118,-1.694761245,3.814673033
0.012,9.377390662,4.167883499
0.0122,19.31681949,4.167883499
0.0124,27.1918389,4.921399159
0.0126,33.65527783,4.921399159
0.0128,38.78063358,5.29815699
0.013,43.01105164,5.29815699
0.0132,46.48271817,5.67491482
0.0134,49.30371743,5.67491482
0.0136,51.57348696,6.051672651
0.0138,53.36120067,6.428430481
0.014,52.91373182,6.805188311
0.0142,49.3383044,6.805188311
0.0144,43.38934656,6.805188311
0.0146,34.13733364,6.805188311
0.0148,22.51395199,7.181946142
0.015,9.619499411,7.181946142
0.0152,-3.173353963,7.558703972
0.0154,-15.38255232,7.558703972
0.0156,-26.72923825,7.935461802
0.0158,-36.77242797,7.935461802
0.016,-44.57827345,7.935461802
0.0162,-47.39711103,7.935461802
0.0164,-46.5367603,7.935461802
0.0166,-42.58303796,7.935461802
0.0168,-38.00891194,7.558703972
0.017,-32.23288893,7.558703972
0.0172,-23.9795746,7.558703972
0.0174,-14.21308059,7.181946142
0.0176,-4.239064797,6.805188311
0.0178,5.045373399,6.805188311
0.018,14.50274642,6.805188311
0.0182,22.37776582,6.805188311
0.0184,27.50095989,6.051672651
0.0186,30.52731926,6.051672651
0.0188,31.14556124,5.67491482
0.019,30.69809239,5.29815699
0.0192,29.87449031,5.29815699
0.0194,27.57013382,4.921399159
0.0196,22.23941796,4.544641329
0.0198,14.84645437,4.167883499
0.02,7.211382031,3.814673033
0.0202,-1.558575073,3.437915202
0.0204,-10.94461248,3.061157372
0.0206,-20.2982246,2.684399541
0.0208,-29.10276867,2.307641711
0.021,-36.90861415,2.307641711
0.0212,-42.92674591,1.930883881
0.0214,-45.84934438,1.55412605
0.0216,-46.15846538,1.17736822
0.0218,-44.06163067,0.80061039
0.022,-39.52209163,0.80061039
0.0222,-32.47283599,0.80061039
0.0224,-24.39245648,0.423852559
0.0226,-15.62249938,0.423852559
0.0228,-6.372648149,0.047094729
0.023,2.431895919,0.047094729
0.0232,10.37608925,0.047094729
0.0234,16.94328908,0.047094729
0.0236,22.27400493,0.047094729
0.0238,26.19314031,0.047094729
0.024,28.1883758,0.047094729
0.0242,28.11920187,0.047094729
0.0244,26.36607513,-0.306115737
0.0246,24.06171864,0.047094729
0.0248,21.1045332,0.047094729
0.025,17.15081086,0.047094729
0.0252,11.33803919,0.047094729
0.0254,3.532193716,0.047094729
0.0256,-4.928642395,0.047094729
0.0258,-12.28701902,0.047094729
0.026,-18.33973775,0.047094729
0.0262,-21.91516518,0.047094729
0.0264,-22.74092895,0.047094729
0.0266,-20.67651952,0.047094729
0.0268,-17.68474712,0.423852559
0.027,-15.31337839,0.047094729
0.0272,-14.34926676,0.047094729
0.0274,-14.72756168,0.047094729
0.0276,-16.96274424,0.047094729
0.0278,-20.0928645,0.047094729
0.028,-21.91516518,0.047094729
0.0282,-21.60604418,0.047094729
0.0284,-18.9925667,0.047094729
0.0286,-14.66054944,0.047094729
0.0288,-10.29178353,0.047094729
0.029,-6.439660392,0.047094729
0.0292,-3.964530769,0.047094729
0.0294,-2.864232971,0.047094729
0.0296,-2.416764122,0.047094729
0.0298,-2.555111978,0.047094729
0.03,-3.31170182,0.047094729
0.0302,-4.342825689,0.047094729
0.0304,-5.477710451,0.047094729
0.0306,-7.230837198,0.047094729
0.0308,-9.913488607,0.047094729
0.031,-13.52566468,0.047094729
0.0312,-17.23943996,0.047094729
0.0314,-19.85291744,0.047094729
0.0316,-21.36609712,0.047094729
0.0318,-21.84599125,0.047094729
0.032,-22.32804706,0.047094729
0.0322,-23.46293182,0.047094729
0.0324,-24.9761115,0.047094729
0.0326,-26.69465129,0.047094729
0.0328,-28.62071285,0.047094729
0.033,-29.72101065,0.047094729
0.0332,-29.61941145,0.047094729
0.0334,-28.79364768,0.047094729
0.0336,-26.93676004,0.047094729
0.0338,-24.08117381,0.047094729
0.034,-21.60604418,0.047094729
0.0342,-20.2982246,0.047094729
0.0344,-20.19662539,0.047094729
0.0346,-20.40198549,0.047094729
0.0348,-19.98910361,0.047094729
0.035,-18.88880581,0.047094729
0.0352,-17.1010921,0.047094729
0.0354,-14.86590954,0.047094729
0.0356,-12.83608708,0.047094729
0.0358,-11.46125525,0.047094729
0.036,-10.94461248,0.047094729
0.0362,-11.3229074,0.047094729
0.0364,-12.28701902,0.047094729
0.0366,-13.59267692,0.047094729
0.0368,-14.72756168,0.047094729
0.037,-14.66054944,0.047094729
0.0372,-14.1093197,0.047094729
0.0374,-13.83478567,0.047094729
0.0376,-14.21308059,0.047094729
0.0378,-15.07126964,0.047094729
0.038,-15.96620734,0.047094729
0.0382,-16.34450226,0.047094729
0.0384,-15.62249938,0.047094729
0.0386,-14.1093197,0.047094729
0.0388,-12.39077992,0.047094729
0.039,-10.8084263,0.047094729
0.0392,-9.431432794,0.047094729
0.0394,-8.607830709,0.047094729
0.0396,-8.504069817,0.047094729
0.0398,-8.504069817,0.047094729
0.04,-8.538656781,0.047094729
0.0402,-7.678306047,0.047094729
0.0404,-5.512297415,0.047094729
0.0406,-2.829646007,0.047094729
0.0408,-0.663637375,0.047094729
0.041,0.918716236,0.047094729
0.0412,1.709893041,0.047094729
0.0414,1.98442707,0.047094729
0.0416,2.293548062,0.047094729
0.0418,2.913951732,0.423852559
0.042,4.081261773,0.047094729
0.0422,5.594441455,0.047094729
0.0424,7.107621138,0.047094729
0.0426,8.759148677,0.047094729
0.0428,10.16856747,0.047094729
0.043,10.41067622,0.047094729
0.0432,9.824859511,0.047094729
0.0434,9.06826967,0.047094729
0.0436,8.999095741,0.047094729
0.0438,9.963207368,0.047094729
0.044,11.09809213,0.047094729
0.0442,11.9238559,0.047094729
0.0444,12.36916306,0.047094729
0.0446,12.06004207,0.047094729
0.0448,11.2342783,0.047094729
0.045,10.78897114,0.047094729
0.0452,10.82139642,0.047094729
0.0454,11.06350517,0.047094729
0.0456,12.02545511,0.047094729
0.0458,13.81316882,0.047094729
0.046,15.67221814,0.047094729
0.0462,16.90870211,0.047094729
0.0464,16.97787604,0.047094729
0.0466,16.32504709,0.047094729
0.0468,15.84299128,0.423852559
0.047,15.91216521,-0.306115737
0.0472,17.04704997,0.423852559
0.0474,18.80017671,0.047094729
0.0476,20.3133564,0.047094729
0.0478,21.62117598,0.047094729
0.048,22.30859189,0.047094729
0.0482,22.27400493,0.047094729
0.0484,21.72277519,0.423852559
0.0486,20.86458614,0.047094729
0.0488,19.72970138,0.047094729
0.049,19.17847164,0.047094729
0.0492,19.45300566,0.047094729
0.0494,19.79671362,0.047094729
0.0496,19.69511441,0.047094729
0.0498,18.76558975,0.047094729
0.05,17.1162239,0.047094729
0.0502,15.67221814,0.047094729
0.0504,14.84645437,0.047094729
0.0506,14.39898552,0.047094729
0.0508,14.53733338,0.423852559
0.051,14.81186741,0.047094729
0.0512,14.88104134,0.047094729
0.0514,14.88104134,0.047094729
0.0516,14.56975866,0.047094729
0.0518,13.67698265,0.047094729
0.052,12.3345761,0.047094729
0.0522,11.37262616,0.047094729
0.0524,11.44180009,0.047094729
0.0526,12.29998913,0.047094729
0.0528,12.98956673,0.047094729
0.053,13.1257529,0.047094729
0.0532,12.71287102,0.047094729
0.0534,11.51097401,0.047094729
0.0536,10.2377414,0.047094729
0.0538,9.411977626,0.047094729
0.054,8.828322606,0.047094729
0.0542,8.277092864,0.047094729
0.0544,7.933384908,0.047094729
0.0546,7.624263915,0.047094729
0.0548,7.107621138,0.047094729
0.055,6.145671197,0.047094729
0.0552,4.288783558,0.047094729
0.0554,2.224374134,0.047094729
0.0556,0.849542308,0.047094729
0.0558,0.058365502,0.047094729
0.056,-0.077820669,0.047094729
0.0562,-0.04539539,0.423852559
0.0564,-0.594463447,0.047094729
0.0566,-1.66017428,0.047094729
