"Latest: Time (s)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,53.9898819756,10.1018193271
0.0002,42.0527040318,10.4785771575
0.0004,29.3306801366,10.8553349879
0.0006,15.149406733,11.2320928182
0.0008,-0.00469967635581,11.6088506486
0.001,-12.8395158041,11.6088506486
0.0012,-23.6534710988,11.985608479
0.0014,-32.7449950091,11.985608479
0.0016,-40.4548140708,11.985608479
0.0018,-46.9662156618,11.985608479
0.002,-52.4648369981,11.6088506486
0.0022,-57.1433648103,11.6088506486
0.0024,-61.1474890655,11.6088506486
0.0026,-64.5148071744,11.2320928182
0.0028,-65.6004324126,10.4785771575
0.003,-63.6171689905,10.1018193271
0.0032,-59.0138359999,9.74860886112
0.0034,-49.583935392,8.99509320036
0.0036,-37.7219522699,8.61833536997
0.0038,-25.9351639696,7.86481970921
0.004,-14.1107782583,7.11130404845
0.0042,-2.2863925471,6.73454621807
0.0044,7.81556177972,5.9810305573
0.0046,16.1974345603,5.60427272692
0.0048,23.3808898702,5.22751489654
0.005,29.3306801366,4.49754660018
0.0052,34.3452348083,4.1207887698
0.0054,38.647788512,3.36727310903
0.0056,42.3158859077,2.99051527865
0.0058,45.3471771572,2.61375744827
0.006,47.7792596714,2.61375744827
0.0062,48.0024942983,2.23699961789
0.0064,49.6121334501,2.23699961789
0.0066,51.7081891048,1.86024178751
0.0068,53.0170489699,1.86024178751
0.007,53.5786602944,1.86024178751
0.0072,54.9251175704,1.86024178751
0.0074,56.2339774355,1.86024178751
0.0076,57.2068104411,2.23699961789
0.0078,58.0692010524,2.23699961789
0.008,58.816449593,2.61375744827
0.0082,59.4156583284,2.61375744827
0.0084,60.0148670637,2.61375744827
0.0086,60.5012835666,2.61375744827
0.0088,60.9125052477,2.99051527865
0.009,61.2109346963,2.99051527865
0.0092,61.5117139831,3.36727310903
0.0094,61.73494861,3.74403093942
0.0096,61.9229356642,4.1207887698
0.0098,61.1733372854,4.49754660018
0.01,58.3300330902,4.49754660018
0.0102,52.4554376454,4.87430443056
0.0104,44.5975787785,4.87430443056
0.0106,35.6164972625,5.22751489654
0.0108,26.0385568494,5.22751489654
0.011,15.3373937872,5.60427272692
0.0112,4.48584108162,5.60427272692
0.0114,-6.21532198056,5.60427272692
0.0116,-16.3572235564,5.60427272692
0.0118,-26.2359432563,5.9810305573
0.012,-34.8786480747,5.60427272692
0.0122,-42.1748956171,5.60427272692
0.0124,-47.9742962401,5.60427272692
0.0126,-52.1664075495,5.60427272692
0.0128,-54.8969195122,5.60427272692
0.013,-55.9825447504,5.60427272692
0.0132,-55.2728936207,5.22751489654
0.0134,-53.8136441122,4.87430443056
0.0136,-51.8679781009,4.49754660018
0.0138,-49.0975188892,4.49754660018
0.014,-46.2166172831,4.1207887698
0.0142,-42.8117017633,3.36727310903
0.0144,-39.2563966001,2.99051527865
0.0146,-35.8138836695,2.61375744827
0.0148,-32.9329820634,2.61375744827
0.015,-30.0144830464,1.86024178751
0.0152,-27.394413478,1.48348395713
0.0154,-25.6743319318,1.10672612675
0.0156,-24.1398876016,0.729968296364
0.0158,-22.6430406823,0.353210465983
0.016,-21.2965834064,0
0.0162,-20.1357633465,0
0.0164,-18.227694746,0
0.0166,-15.4595853724,0
0.0168,-13.4387245394,0
0.017,-11.0066420253,0
0.0172,-8.27378022441,0
0.0174,-4.90646211547,0
0.0176,-1.3511569523,0
0.0178,1.22896536705,0
0.018,3.51300807597,0
0.0182,5.90749317926,0
0.0184,7.81556177972,0
0.0186,8.07639381746,0
0.0188,6.99311841745,0
0.019,5.34588185474,0
0.0192,2.68821487552,0
0.0194,-0.192686730588,0
0.0196,-3.78323946643,0
0.0198,-7.3385446296,0
0.02,-10.8938497928,0
0.0202,-15.083611264,0
0.0204,-18.9772931248,0
0.0206,-22.4174562172,0
0.0208,-25.373552645,0
0.021,-27.9936222134,0
0.0212,-30.312912495,0
0.0214,-32.1105387011,0
0.0216,-32.2961759171,0
0.0218,-31.2857455006,0
0.022,-30.312912495,0
0.0222,-29.3024820785,0
0.0224,-27.7703875865,0
0.0226,-25.636734521,0
0.0228,-23.3926390611,0
0.023,-21.8581947309,0
0.0232,-20.3989452224,0
0.0234,-19.12533293,0
0.0236,-18.3028895677,0
0.0238,-17.8540704757,0
0.024,-17.7412782432,0
0.0242,-18.0021102809,0
0.0244,-19.3133199842,0
0.0246,-21.146193763,0
0.0248,-23.167054596,0
0.025,-24.8518885695,0
0.0252,-26.9455943861,0
0.0254,-29.3024820785,0
0.0256,-31.436135144,0
0.0258,-33.0081768851,0
0.026,-34.1313995341,0
0.0262,-34.5426212152,0
0.0264,-34.4674263935,0
0.0266,-34.1313995341,0
0.0268,-33.4193985662,0
0.027,-31.7721620035,0
0.0272,-29.415274311,0
0.0274,-27.1335814403,0
0.0276,-24.4383170502,0
0.0278,-22.0062345361,0
0.028,-19.2005277517,0
0.0282,-16.0940416805,0
0.0284,-13.1755426635,0
0.0286,-10.8562523819,0
0.0288,-9.20901581921,0
0.029,-7.78736372158,0
0.0292,-6.85212812677,0
0.0294,-6.18007440789,0
0.0296,-5.99208735366,0
0.0298,-6.1048795862,0
0.03,-6.1048795862,0
0.0302,-6.66649091072,0
0.0304,-6.96492035931,0
0.0306,-7.00251777016,0
0.0308,-6.77693330508,0
0.031,-6.62889349987,0
0.0312,-6.55369867818,0
0.0314,-5.43047602914,0
0.0316,-3.44721260699,0
0.0318,-1.20311714709,0
0.032,0.968133329297,0
0.0322,3.84903493541,0
0.0324,6.88032618491,0
0.0326,9.83642261272,0
0.0328,12.9429086839,0
0.033,15.8614077009,0
0.0332,18.5919196636,0
0.0334,20.8360151235,0
0.0336,22.969668189,0
0.0338,24.9529316112,0
0.034,26.4497785305,0
0.0342,27.1970270711,0
0.0344,27.3850141253,0
0.0346,27.0489872659,0
0.0348,26.6001681739,0
0.035,26.0385568494,0
0.0352,25.4017507032,0
0.0354,24.4665151084,0
0.0356,23.7568639786,0
0.0358,23.1576552433,0
0.036,22.7464335621,0
0.0362,22.7088361513,0
0.0364,22.6712387404,0
0.0366,22.7464335621,0
0.0368,23.0448630107,0
0.037,23.6440717461,0
0.0372,24.8401393786,0
0.0374,26.1137516711,0
0.0376,27.2346244819,0
0.0378,27.8338332173,0
0.038,28.5834315961,0
0.0382,29.48106978,0
0.0384,29.7794992286,0
0.0386,29.6314594234,0
0.0388,29.2930827258,0
0.039,28.7314714013,0
0.0392,27.6481960012,0
0.0394,26.4497785305,0
0.0396,25.3265558815,0
0.0398,23.6064743352,0
0.04,21.2495866428,0
0.0402,19.1159335773,0
0.0404,17.2830597985,0
0.0406,15.5230310032,0
0.0408,13.6525598136,0
0.041,11.8196860349,0
0.0412,10.210046883,0
0.0414,8.90118701791,0
0.0416,8.07639381746,0
0.0418,7.32914527689,0
0.042,6.69233913068,0
0.0422,5.90749317926,0
0.0424,5.49627149812,0
0.0426,5.42107667643,0
0.0428,5.49627149812,0
0.043,5.30828444389,0
0.0432,4.63388088683,0
0.0434,4.07461940049,0
0.0436,3.40021584343,0
0.0438,2.68821487552,0
0.044,1.9033689241,0
0.0442,0.742548864218,0
0.0444,-0.791895465954,0
0.0446,-2.66236665557,0
0.0448,-4.0840187532,0
0.045,-5.72890547774,0
0.0452,-7.63932391637,0
0.0454,-9.6578349112,0
0.0456,-11.6410983333,0
0.0458,-13.3635297178,0
0.046,-14.7099869937,0
0.0462,-15.7204174102,0
0.0464,-17.0668746861,0
0.0466,-18.5261241946,0
0.0468,-19.4989572003,0
0.047,-19.9125287196,0
0.0472,-20.248555579,0
0.0474,-20.5845824385,0
0.0476,-20.8101669035,0
0.0478,-20.9582067087,0
0.048,-20.9582067087,0
0.0482,-20.5469850276,0
0.0484,-20.3237504007,0
0.0486,-20.5093876168,0
0.0488,-20.9582067087,0
0.049,-21.3341808172,0
0.0492,-21.4093756389,0
0.0494,-21.6326102658,0
0.0496,-22.1566241795,0
0.0498,-22.9062225582,0
0.05,-23.5782762771,0
0.0502,-24.2150824233,0
0.0504,-24.8142911587,0
0.0506,-25.187915429,0
0.0508,-25.7871241643,0
0.051,-26.5343727049,0
0.0512,-26.9831917969,0
0.0514,-26.7223597592,0
0.0516,-26.0479562021,0
0.0518,-25.7495267535,0
0.052,-25.4111500559,0
0.0522,-24.5887066936,0
0.0524,-23.4654840446,0
0.0526,-22.1566241795,0
0.0528,-20.6597772602,0
0.053,-19.2005277517,0
0.0532,-18.0773051026,0
0.0534,-16.5804581833,0
0.0536,-14.9355714588,0
0.0538,-13.4387245394,0
0.054,-12.0922672635,0
0.0542,-11.0066420253,0
0.0544,-10.0714064305,0
0.0546,-9.06097601401,0
0.0548,-7.97535077581,0
0.055,-7.00251777016,0
0.0552,-6.59129608903,0
0.0554,-6.14247699705,0
0.0556,-5.35528120745,0
0.0558,-4.26965596926,0
0.056,-3.44721260699,0
0.0562,-2.54957442303,0
0.0564,-1.50154659568,0
0.0566,-0.566311000875,0
0.0568,0.780146275065,0
0.057,2.23939578354,0
0.0572,3.9994245788,0
0.0574,5.64431130333,0
0.0576,6.88032618491,0
0.0578,8.37717310424,0
0.058,10.210046883,0
0.0582,12.1181154835,0
0.0584,13.2789355433,0
0.0586,14.3269633707,0
0.0588,15.7110180575,0
0.059,16.90708569,0
0.0592,17.8799186957,0
0.0594,18.6671144853,0
0.0596,19.4519604367,0
0.0598,19.7527397235,0
0.06,19.7903371343,0
0.0602,20.1639614046,0
0.0604,20.4247934424,0
0.0606,20.4999882641,0
0.0608,20.3495986207,0
0.061,20.2767536372,0
0.0612,20.4247934424,0
0.0614,20.6503779074,0
0.0616,20.8736125343,0
0.0618,20.8736125343,0
0.062,20.8360151235,0
0.0622,20.948807356,0
0.0624,21.1743918211,0
0.0626,21.6232109131,0
0.0628,21.84644554,0
0.063,22.0344325942,0
0.0632,22.1848222376,0
0.0634,22.2600170593,0
0.0636,22.4080568645,0
0.0638,22.3704594537,0
0.064,22.1472248268,0
0.0642,21.5856135022,0
0.0644,20.948807356,0
0.0646,20.5751830857,0
0.0648,20.1639614046,0
0.065,19.4143630259,0
0.0652,18.3663351985,0
0.0654,17.4686970146,0
0.0656,16.3478242037,0
0.0658,15.149406733,0
0.066,14.1765737273,0
0.0662,13.1285459,0
0.0664,11.8572834457,0
0.0666,10.5460737424,0
0.0668,9.68603296933,0
0.067,8.93878442876,0
0.0672,8.00354883395,0
0.0674,6.99311841745,0
0.0676,6.05788282264,0
0.0678,5.2330896222,0
0.068,4.63388088683,0
0.0682,4.18506179485,0
0.0684,3.58820289766,0
0.0686,2.80100710806,0
0.0688,1.9033689241,0
0.069,1.1913679562,0
0.0692,0.59450905901,0
0.0694,-0.0422970872023,0
0.0696,-1.09032491455,0
0.0698,-2.10075533105,0
0.07,-3.22397798009,0
0.0702,-4.19681098574,0
0.0704,-5.28008638576,0
0.0706,-6.44090644564,0
0.0708,-7.78736372158,0
0.071,-9.3594054626,0
0.0712,-10.5578229333,0
0.0714,-11.530655939,0
0.0716,-12.5410863555,0
0.0718,-13.737153988,0
0.072,-14.8603766371,0
0.0722,-15.6828199993,0
0.0724,-16.5076131998,0
0.0726,-17.0668746861,0
0.0728,-17.5156937781,0
0.073,-18.1149025135,0
0.0732,-18.6013190163,0
0.0734,-18.6389164272,0
0.0736,-18.4532792111,0
0.0738,-18.4885267838,0
0.074,-18.6389164272,0
0.0742,-18.8645008922,0
0.0744,-19.0877355191,0
0.0746,-19.0125406974,0
0.0748,-18.9020983031,0
0.075,-18.9020983031,0
0.0752,-19.2381251625,0
0.0754,-19.6117494328,0
0.0756,-19.6869442545,0
0.0758,-19.6869442545,0
0.076,-19.799736487,0
0.0762,-20.0981659356,0
0.0764,-20.3989452224,0
0.0766,-20.3989452224,0
0.0768,-20.1733607573,0
0.077,-19.799736487,0
0.0772,-19.5365546111,0
0.0774,-19.2381251625,0
0.0776,-19.0501381083,0
0.0778,-18.4885267838,0
0.078,-17.3676539729,0
0.0782,-16.3196261456,0
0.0784,-15.5700277668,0
0.0786,-14.7099869937,0
0.0788,-13.551516772,0
0.079,-12.3530993013,0
0.0792,-11.1922792414,0
0.0794,-10.1090038414,0
0.0796,-9.28421064091,0
0.0798,-8.42416986779,0
0.08,-7.45133686214,0
0.0802,-6.29051680226,0
0.0804,-5.3176837966,0
0.0806,-4.72082489941,0
0.0808,-4.19681098574,0
0.081,-3.63519966122,0
0.0812,-2.88560128247,0
0.0814,-2.02556050936,0
0.0816,-1.3511569523,0
0.0818,-0.902337860316,0
0.082,-0.267881552281,0
0.0822,0.780146275065,0
0.0824,1.82817410241,0
0.0826,2.9137993406,0
0.0828,3.73624270287,0
0.083,4.56103590332,0
0.0832,5.68190871418,0
0.0834,6.88032618491,0
0.0836,8.22678346085,0
0.0838,9.42520093158,0
0.084,10.3604365264,0
0.0842,11.2204772995,0
0.0844,12.2685051268,0
0.0846,13.3917277759,0
0.0848,14.2141711382,0
0.085,14.5877954084,0
0.0852,14.9238222679,0
0.0854,15.5230310032,0
0.0856,16.0470449169,0
0.0858,16.272629382,0
0.086,16.4206691872,0
0.0862,16.4206691872,0
0.0864,16.2350319712,0
0.0866,16.2350319712,0
0.0868,16.4206691872,0
0.087,16.6086562414,0
0.0872,16.4582665981,0
0.0874,16.4206691872,0
0.0876,16.5710588306,0
0.0878,16.8718381174,0
0.088,17.2078649768,0
0.0882,17.3206572093,0
0.0884,17.3935021929,0
0.0886,17.5814892471,0
0.0888,17.8799186957,0
0.089,18.2558928042,0
0.0892,18.4039326094,0
0.0894,18.4039326094,0
0.0896,18.2182953933,0
0.0898,18.0303083391,0
0.09,17.844671123,0
0.0902,17.5438918362,0
0.0904,17.0574753334,0
0.0906,16.3854216145,0
0.0908,15.5606284141,0
0.091,14.8133798735,0
0.0912,14.1765737273,0
0.0914,13.3917277759,0
0.0916,12.230907716,0
0.0918,11.1452824778,0
0.092,10.3228391155,0
0.0922,9.57324073679,0
0.0924,8.82599219622,0
0.0926,8.11399122831,0
0.0928,7.44193750943,0
0.093,6.54429932547,0
0.0932,5.9450905901,0
0.0934,5.49627149812,0
0.0936,5.08504981699,0
0.0938,4.48584108162,0
0.094,3.81143752456,0
0.0942,3.28742361089,0
0.0944,2.80100710806,0
0.0946,2.09135597834,0
0.0948,1.37935501043,0
0.095,0.406522004778,0
0.0952,-0.528713590029,0
0.0954,-1.53914400653,0
0.0956,-2.47437960134,0
0.0958,-3.44721260699,0
0.096,-4.60803266687,0
0.0962,-5.87929512112,0
0.0964,-7.07771259185,0
0.0966,-8.08814300835,0
0.0968,-9.02337860316,0
0.097,-9.99621160881,0
0.0972,-10.9314472036,0
0.0974,-11.8290853876,0
0.0976,-12.5786837663,0
0.0978,-13.0651002692,0
0.098,-13.3259323069,0
0.0982,-13.737153988,0
0.0984,-14.2235704909,0
0.0986,-14.4491549559,0
0.0988,-14.5243497776,0
0.099,-14.5243497776,0
0.0992,-14.5971947612,0
0.0994,-14.6723895828,0
0.0996,-14.9355714588,0
0.0998,-15.1212086748,0
0.1,-15.1212086748,0
0.1002,-15.1964034965,0
0.1004,-15.4595853724,0
0.1006,-15.8708070536,0
0.1008,-16.206833913,0
0.101,-16.4700157889,0
0.1012,-16.655653005,0
0.1014,-16.8812374701,0
0.1016,-17.1420695078,0
0.1018,-17.4804462054,0
0.102,-17.6284860107,0
0.1022,-17.3676539729,0
0.1024,-17.0292772753,0
0.1026,-16.8812374701,0
0.1028,-16.6180555942,0
0.103,-16.206833913,0
0.1032,-15.5700277668,0
0.1034,-14.8227792262,0
0.1036,-14.0379332748,0
0.1038,-13.2883348961,0
0.104,-12.5786837663,0
0.1042,-11.8290853876,0
0.1044,-10.8938497928,0
0.1046,-9.88341937627,0
0.1048,-9.20901581921,0
0.105,-8.83539154893,0
0.1052,-8.23618281356,0
0.1054,-7.48893427299,0
0.1056,-6.81453071593,0
0.1058,-6.25291939141,0
0.106,-5.87929512112,0
0.1062,-5.43047602914,0
0.1064,-5.0944491697,0
0.1066,-4.53283784518,0
0.1068,-3.82083687728,0
0.107,-3.33442037445,0
0.1072,-2.88560128247,0
0.1074,-2.25114497443,0
0.1076,-1.3511569523,0
0.1078,-0.340726535796,0
0.108,0.59450905901,0
0.1082,1.41695242128,0
0.1084,2.12895338918,0
0.1086,3.2122287892,0
0.1088,4.29785402739,0
0.109,5.42107667643,0
0.1092,6.28111744954,0
0.1094,6.9555210066,0
0.1096,7.81556177972,0
0.1098,8.60040773114,0
0.11,9.35000610989,0
0.1102,9.94921484526,0
0.1104,10.3228391155,0
0.1106,10.5084763316,0
0.1108,10.7716582075,0
0.111,11.2580747103,0
0.1112,11.7068938023,0
0.1114,11.8948808566,0
0.1116,11.8196860349,0
0.1118,12.0429206618,0
0.112,12.4188947702,0
0.1122,12.679726808,0
0.1124,12.9429086839,0
0.1126,13.1661433108,0
0.1128,13.4645727594,0
0.113,13.7653520462,0
0.1132,14.251768549,0
0.1134,14.8133798735,0
0.1136,15.0742119113,0
0.1138,15.1118093221,0
0.114,15.2997963763,0
0.1142,15.6734206466,0
0.1144,16.0094475061,0
0.1146,16.0470449169,0
0.1148,15.8990051117,0
0.115,15.6734206466,0
0.1152,15.4102387707,0
0.1154,15.1870041438,0
0.1156,14.8509772844,0
0.1158,14.3645607815,0
0.116,13.6901572245,0
0.1162,13.1285459,0
0.1164,12.679726808,0
0.1166,12.1933103052,0
0.1168,11.5565041589,0
0.117,10.8844504401,0
0.1172,10.210046883,0
0.1174,9.61083814764,0
0.1176,9.31240869904,0
0.1178,8.9763818396,0
0.118,8.48996533678,0
0.1182,7.92835401226,0
0.1184,7.47953492028,0
0.1186,7.21635304435,0
0.1188,6.80513136322,0
0.119,6.2435200387,0
0.1192,5.71950612502,0
0.1194,5.12029738966,0
0.1196,4.48584108162,0
0.1198,3.88663234626,0
0.12,3.28742361089,0
0.1202,2.50257765947,0
0.1204,1.34175759958,0
0.1206,0.444119415624,0
0.1208,-0.378323946643,0
0.121,-1.16551973624,0
0.1212,-2.10075533105,0
0.1214,-3.11118574755,0
0.1216,-4.00882393151,0
0.1218,-4.83126729378,0
0.122,-5.46807343999,0
0.1222,-6.06728217535,0
0.1224,-6.70173848339,0
0.1226,-7.37614204045,0
0.1228,-7.90015595412,0
0.123,-8.23618281356,0
0.1232,-8.49936468949,0
0.1234,-8.79779413808,0
0.1236,-9.17141840837,0
0.1238,-9.54739251683,0
0.124,-9.84582196543,0
0.1242,-10.1090038414,0
0.1244,-10.2570436466,0
0.1246,-10.5202255225,0
0.1248,-10.9314472036,0
0.125,-11.3802662956,0
0.1252,-11.6786957442,0
0.1254,-11.979475031,0
0.1256,-12.4282941229,0
0.1258,-12.8771132149,0
0.126,-13.3259323069,0
0.1262,-13.6619591663,0
0.1264,-13.8499462206,0
0.1266,-13.9251410423,0
0.1268,-14.000335864,0
0.127,-14.18597308,0
0.1272,-14.3363627234,0
0.1274,-14.2235704909,0
0.1276,-14.0379332748,0
0.1278,-13.8123488097,0
0.128,-13.5139193611,0
0.1282,-13.2131400744,0
0.1284,-12.8395158041,0
0.1286,-12.3530993013,0
0.1288,-11.716293155,0
0.129,-11.2674740631,0
0.1292,-10.9690446145,0
0.1294,-10.6682653277,0
0.1296,-10.1818488249,0
0.1298,-9.6578349112,0
0.13,-9.24661323006,0
0.1302,-8.83539154893,0
0.1304,-8.49936468949,0
0.1306,-8.23618281356,0
0.1308,-7.90015595412,0
0.131,-7.37614204045,0
0.1312,-6.96492035931,0
0.1314,-6.73933589424,0
0.1316,-6.40330903479,0
0.1318,-5.87929512112,0
0.132,-5.16964399139,0
0.1322,-4.53283784518,0
0.1324,-4.04642134235,0
0.1326,-3.48481001784,0
0.1328,-2.88560128247,0
0.133,-2.0631579202,0
0.1332,-1.20311714709,0
0.1334,-0.378323946643,0
0.1336,0.293729772238,0
0.1338,0.892938507604,0
0.134,1.60493947551,0
0.1342,2.54017507032,0
0.1344,3.28742361089,0
0.1346,3.84903493541,0
0.1348,4.26025661654,0
0.135,4.78427053022,0
0.1352,5.34588185474,0
0.1354,5.98268800095,0
0.1356,6.43150709293,0
0.1358,6.69233913068,0
0.136,6.9555210066,0
0.1362,7.36674268774,0
0.1364,7.85315919056,0
0.1366,8.2643808717,0
0.1368,8.60040773114,0
0.137,8.93878442876,0
0.1372,9.1996164665,0
0.1374,9.57324073679,0
0.1376,10.1724494722,0
0.1378,10.6212685641,0
0.138,10.7716582075,0
0.1382,11.0324902453,0
0.1384,11.4084643537,0
0.1386,11.9700756783,0
0.1388,12.3061025377,0
0.139,12.4917397538,0
0.1392,12.5669345754,0
0.1394,12.6421293971,0
0.1396,12.7173242188,0
0.1398,12.8677138622,0
0.14,12.9053112731,0
0.1402,12.6421293971,0
0.1404,12.3061025377,0
0.1406,12.1181154835,0
0.1408,12.0805180726,0
0.141,11.8196860349,0
0.1412,11.4084643537,0
0.1414,10.9948928344,0
0.1416,10.658865975,0
0.1418,10.4356313481,0
0.142,10.210046883,0
0.1422,9.91161743441,0
0.1424,9.46279834243,0
0.1426,9.01397925045,0
0.1428,8.75079737452,0
0.143,8.52756274762,0
0.1432,8.33957569339,0
0.1434,7.89075660141,0
0.1436,7.44193750943,0
0.1438,6.99311841745,0
0.144,6.69233913068,0
0.1442,6.31871486039,0
0.1444,5.83229835756,0
0.1446,5.1578948005,0
0.1448,4.44824367078,0
0.145,3.9242297571,0
0.1452,3.51300807597,0
0.1454,2.95139675145,0
0.1456,2.09135597834,0
0.1458,1.34175759958,0
0.146,0.632106469857,0
0.1462,0.0328977344907,0
0.1464,-0.566311000875,0
0.1466,-1.16551973624,0
0.1468,-1.87517086597,0
0.147,-2.58717183387,0
0.1472,-3.0735883367,0
0.1474,-3.40961519614,0
0.1476,-3.89603169897,0
0.1478,-4.49524043433,0
0.148,-5.01925434801,0
0.1482,-5.46807343999,0
0.1484,-5.84169771028,0
0.1486,-6.14247699705,0
0.1488,-6.44090644564,0
0.149,-6.85212812677,0
0.1492,-7.30094721876,0
0.1494,-7.63932391637,0
0.1496,-7.86255854327,0
0.1498,-8.19858540272,0
0.15,-8.64975433287,0
0.1502,-9.06097601401,0
0.1504,-9.32180805175,0
0.1506,-9.58498992768,0
0.1508,-9.77062714373,0
0.151,-10.0338090197,0
0.1512,-10.3322384683,0
0.1514,-10.6682653277,0
0.1516,-10.8562523819,0
0.1518,-10.8562523819,0
0.152,-10.8938497928,0
0.1522,-10.9690446145,0
0.1524,-11.081836847,0
0.1526,-10.9690446145,0
0.1528,-10.8562523819,0
0.153,-10.7434601494,0
0.1532,-10.5954203442,0
0.1534,-10.5202255225,0
0.1536,-10.4450307008,0
0.1538,-10.1818488249,0
0.154,-9.88341937627,0
0.1542,-9.50979510599,0
0.1544,-9.28421064091,0
0.1546,-9.09857342485,0
0.1548,-8.87298895977,0
0.155,-8.64975433287,0
0.1552,-8.3489750461,0
0.1554,-7.97535077581,0
0.1556,-7.74976631074,0
0.1558,-7.56412909468,0
0.156,-7.18815498622,0
0.1562,-6.73933589424,0
0.1564,-6.36571162395,0
0.1566,-6.06728217535,0
0.1568,-5.72890547774,0
0.157,-5.35528120745,0
0.1572,-4.90646211547,0
0.1574,-4.3824482018,0
0.1576,-3.78323946643,0
0.1578,-3.33442037445,0
0.158,-2.92319869332,0
0.1582,-2.43678219049,0
0.1584,-1.76472847161,0
0.1586,-1.1279223254,0
