"Latest: Time (s)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,-7.36204301138,10.0547245983
0.0002,-11.3285698557,10.0547245983
0.0004,-15.0342646622,10.0547245983
0.0006,-18.2887905386,10.0547245983
0.0008,-20.9817050905,10.0547245983
0.001,-23.378540032,10.0547245983
0.0012,-24.9482319348,10.0547245983
0.0014,-26.3346364598,9.70151413232
0.0016,-27.605898914,9.70151413232
0.0018,-28.0171205952,9.32475630194
0.002,-27.7562885574,8.94799847156
0.0022,-27.5683015032,8.94799847156
0.0024,-27.4179118598,8.57124064118
0.0026,-26.8586503735,8.1944828108
0.0028,-26.1090519947,7.81772498041
0.003,-25.4722458485,7.44096715003
0.0032,-24.461815432,7.06420931965
0.0034,-23.1529555669,6.31069365889
0.0036,-21.992135507,5.93393582851
0.0038,-20.6832756419,5.93393582851
0.004,-18.8128044523,5.55717799813
0.0042,-17.0903730679,5.18042016774
0.0044,-15.3326941108,4.45045187138
0.0046,-13.1990410453,4.073694041
0.0048,-11.253375034,3.69693621062
0.005,-9.60848830946,3.32017838024
0.0052,-7.66282229815,2.94342054985
0.0054,-5.52916923261,2.56666271947
0.0056,-3.20987895102,2.18990488909
0.0058,-0.702601615194,1.81314705871
0.006,1.72948089894,1.81314705871
0.0062,4.424745289,1.43638922833
0.0064,7.08006243003,1.05963139795
0.0066,9.54974235501,1.05963139795
0.0068,12.6562284262,0.682873567566
0.007,15.4243377998,0.306115737185
0.0072,17.5579908653,0.306115737185
0.0074,19.8396837361,0.306115737185
0.0076,22.572545537,-0.0470947287977
0.0078,25.3406549105,-0.0470947287977
0.008,27.5495027978,-0.0470947287977
0.0082,29.3071817548,-0.0470947287977
0.0084,30.9168209067,-0.0470947287977
0.0086,31.7016668581,-0.0470947287977
0.0088,31.9648487341,-0.0470947287977
0.009,32.1504859501,-0.0470947287977
0.0092,32.0400435558,-0.0470947287977
0.0094,31.7768616798,-0.0470947287977
0.0096,31.5536270529,-0.0470947287977
0.0098,31.290445177,-0.0470947287977
0.01,30.8792234959,-0.0470947287977
0.0102,30.2048199388,-0.0470947287977
0.0104,29.6079610416,-0.0470947287977
0.0106,28.3343487492,-0.0470947287977
0.0108,26.0526558784,-0.0470947287977
0.011,24.144587278,-0.0470947287977
0.0112,22.6477403587,-0.0470947287977
0.0114,20.9253089743,-0.0470947287977
0.0116,19.3156698224,-0.0470947287977
