"Latest: Time (s)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,-58.0645013761,10.0547245983
0.0002,-61.5822091284,10.4314824287
0.0004,-63.6406673722,10.8082402591
0.0006,-66.1831922807,11.5617559198
0.0008,-68.8408592599,12.3152715806
0.001,-71.1225521307,13.4455450717
0.0012,-71.7217608661,14.1990607325
0.0014,-68.7280670274,14.5758185629
0.0016,-66.1479447081,14.9525763933
0.0018,-65.5487359727,14.9525763933
0.002,-66.3335819241,14.9525763933
0.0022,-64.575902967,14.9525763933
0.0024,-61.7325987718,15.3057868592
0.0026,-59.5989457062,15.6825446896
0.0028,-56.0060431322,15.6825446896
0.003,-54.5467936237,15.3057868592
0.0032,-57.7284745166,14.9525763933
0.0034,-59.410958652,14.5758185629
0.0036,-59.5237508845,14.5758185629
0.0038,-60.4965838902,14.1990607325
0.004,-60.983000393,13.4455450717
0.0042,-61.1709874473,13.0687872414
0.0044,-62.555042134,12.3152715806
0.0046,-62.9662638152,11.5617559198
0.0048,-60.6469735336,11.1849980894
0.005,-56.9036813162,10.4314824287
0.0052,-54.285961586,9.32475630194
0.0054,-52.899557061,8.94799847156
0.0056,-49.2714069143,8.1944828108
0.0058,-41.3007558149,7.81772498041
0.006,-32.9188830343,7.06420931965
0.0062,-23.9025539457,6.31069365889
0.0064,-12.825416775,5.55717799813
0.0066,-4.29315435103,5.18042016774
0.0068,4.46234269984,4.45045187138
0.007,13.4410743776,4.073694041
0.0072,20.9253089743,3.69693621062
0.0074,27.2863209218,3.32017838024
0.0076,32.5640574694,2.56666271947
0.0078,37.0898458001,2.56666271947
0.008,40.9811778227,2.18990488909
0.0082,44.2380535373,2.18990488909
0.0084,47.0061629108,1.81314705871
0.0086,49.3630506033,1.43638922833
0.0088,51.4215088471,1.05963139795
0.009,53.1063428207,1.05963139795
0.0092,54.5279949183,1.05963139795
0.0094,55.8368547834,1.05963139795
0.0096,56.8848826108,1.05963139795
0.0098,57.7449233839,1.05963139795
0.01,58.5697165843,1.05963139795
0.0102,59.2041728924,1.05963139795
0.0104,59.8409790386,1.05963139795
0.0106,60.2897981305,1.43638922833
0.0108,60.7386172225,1.43638922833
0.011,61.0393965093,1.43638922833
0.0112,61.3378259579,1.81314705871
0.0114,61.5986579956,2.18990488909
0.0116,61.8242424607,2.18990488909
0.0118,62.0122295149,2.56666271947
0.012,62.197866731,2.94342054985
0.0122,62.3482563744,3.32017838024
0.0124,62.4610486069,3.32017838024
0.0126,62.5362434286,4.073694041
0.0128,62.646685823,4.45045187138
0.013,62.6842832338,5.18042016774
