"Latest: Time (s)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,-68.8408592599,10.0547245983
0.0002,-67.1936226972,10.4314824287
0.0004,-65.1375142916,10.4314824287
0.0006,-64.4631107345,10.4314824287
0.0008,-61.0957926256,10.4314824287
0.001,-56.3796674025,10.4314824287
0.0012,-52.6387250233,10.0547245983
0.0014,-48.8225878224,9.70151413232
0.0016,-46.6137399351,9.32475630194
0.0018,-45.1544904266,9.32475630194
0.002,-42.7976027342,8.94799847156
0.0022,-40.4783124526,8.57124064118
0.0024,-38.6454386738,8.1944828108
0.0026,-38.2318671545,7.81772498041
0.0028,-38.4950490305,7.06420931965
0.003,-37.6350082573,6.68745148927
0.0032,-36.3613959649,6.31069365889
0.0034,-34.9021464564,5.55717799813
0.0036,-33.0692726777,5.55717799813
0.0038,-30.4868005202,5.18042016774
0.004,-28.0171205952,4.82720970176
0.0042,-25.0610241674,4.45045187138
0.0044,-21.0193025014,4.073694041
0.0046,-17.5391921599,4.073694041
0.0048,-13.3494306887,3.32017838024
0.005,-8.03644656844,3.32017838024
0.0052,-1.33705792323,2.94342054985
0.0054,7.86725821963,2.94342054985
0.0056,16.2867284111,2.56666271947
0.0058,23.4325863101,2.56666271947
0.006,29.3823765765,2.56666271947
0.0062,34.3593338373,2.56666271947
0.0064,38.6242901302,2.56666271947
0.0066,42.292387526,2.56666271947
0.0068,45.3236787755,2.56666271947
0.007,47.9789959165,2.56666271947
0.0072,50.1502463929,2.94342054985
0.0074,52.0959124042,3.32017838024
0.0076,53.7032017179,3.32017838024
0.0078,55.0896062428,3.69693621062
0.008,56.2480764645,4.073694041
0.0082,56.9976748433,4.073694041
0.0084,56.9600774324,4.45045187138
0.0086,55.949647016,4.82720970176
0.0088,53.8535913613,5.18042016774
0.009,51.6094959014,5.18042016774
0.0092,49.6638298901,5.55717799813
0.0094,47.6429690571,5.93393582851
0.0096,44.3860933425,5.93393582851
0.0098,40.3091241038,6.31069365889
0.01,36.3049998487,6.68745148927
0.0102,32.0400435558,7.06420931965
0.0104,28.4095435709,7.06420931965
0.0106,25.6790316082,7.44096715003
0.0108,24.6686011917,7.44096715003
0.011,25.0798228728,7.44096715003
0.0112,25.9398636459,7.81772498041
0.0114,27.0630862949,7.81772498041
0.0116,28.1839591058,8.1944828108
0.0118,29.2319869332,7.81772498041
0.012,29.8311956685,7.81772498041
0.0122,30.2424173497,8.1944828108
0.0124,30.8792234959,8.1944828108
0.0126,31.6264720364,8.1944828108
0.0128,32.7496946855,8.1944828108
0.013,33.1233189558,8.1944828108
0.0132,32.3008755935,7.81772498041
0.0134,30.9168209067,7.81772498041
0.0136,29.0839471279,7.44096715003
0.0138,26.3886827379,7.44096715003
0.014,23.4701837209,7.44096715003
0.0142,20.5892821148,7.06420931965
0.0144,18.0444073681,7.06420931965
0.0146,15.5747274432,7.06420931965
0.0148,13.1050475182,6.31069365889
0.015,10.1865485012,6.31069365889
0.0152,7.04246501919,5.93393582851
0.0154,3.93832878617,5.93393582851
0.0156,4.27435564561,5.55717799813
0.0158,6.22002165692,5.55717799813
0.016,7.34324430596,5.55717799813
0.0162,9.36410513896,5.18042016774
0.0164,14.5266996158,5.18042016774
0.0166,17.3347562384,4.82720970176
0.0168,19.1300326063,4.82720970176
0.017,23.1341568615,4.45045187138
0.0172,26.8750992407,4.45045187138
0.0174,30.5055992256,4.45045187138
0.0176,34.9585425727,4.45045187138
0.0178,39.2610962765,4.45045187138
0.018,42.926843834,4.45045187138
0.0182,46.0333299052,4.45045187138
0.0184,48.4654124193,4.45045187138
0.0186,49.0646211547,4.45045187138
0.0188,47.417384592,4.45045187138
0.019,44.498885575,4.45045187138
0.0192,40.5323587307,4.45045187138
0.0194,36.9418059949,4.45045187138
0.0196,33.4240982425,4.45045187138
0.0198,30.3552095822,4.82720970176
0.02,27.3239183327,4.82720970176
0.0202,22.6853377695,4.82720970176
0.0204,16.8835873083,4.82720970176
0.0206,9.43929996065,5.18042016774
0.0208,1.61903850458,5.18042016774
0.021,-5.37877958923,5.18042016774
0.0212,-10.7669585312,5.18042016774
