"Latest: Time (s)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,-51.0666832823,10.0547245983
0.0002,-55.0708075374,10.4314824287
0.0004,-59.2981664195,10.4314824287
0.0006,-60.9454029822,10.4314824287
0.0008,-63.003861226,11.1849980894
0.001,-61.6950013609,11.9385137502
0.0012,-56.492459635,11.9385137502
0.0014,-53.2003363478,11.9385137502
0.0016,-50.9186434771,11.5617559198
0.0018,-46.0897260215,11.5617559198
0.002,-42.0879516045,11.1849980894
0.0022,-39.5430768578,11.1849980894
0.0024,-39.5430768578,10.4314824287
0.0026,-39.6182716795,10.0547245983
0.0028,-36.8102150569,10.0547245983
0.003,-33.4052995371,9.70151413232
0.0032,-31.64762058,8.94799847156
0.0034,-33.4052995371,8.57124064118
0.0036,-36.6974228244,7.44096715003
0.0038,-36.6245778408,7.06420931965
0.004,-38.3446593871,6.31069365889
0.0042,-42.0879516045,5.93393582851
0.0044,-42.9855897884,5.55717799813
0.0046,-41.9751593719,5.18042016774
0.0048,-40.2903253984,4.45045187138
0.005,-36.9606047003,4.073694041
0.0052,-33.4052995371,3.32017838024
0.0054,-32.9188830343,3.32017838024
0.0056,-31.5724257583,2.56666271947
0.0058,-25.3242060433,2.56666271947
0.006,-20.0088720849,2.18990488909
0.0062,-14.0238342457,2.18990488909
0.0064,-5.04275272979,2.18990488909
0.0066,4.16156341307,2.18990488909
0.0068,13.1050475182,1.81314705871
0.007,20.6268795257,1.43638922833
0.0072,27.1006837058,1.43638922833
0.0074,32.4512652369,1.43638922833
0.0076,37.0146509784,1.43638922833
0.0078,40.9083328392,1.81314705871
0.008,44.1628587156,2.18990488909
0.0082,46.9685655,2.18990488909
0.0084,49.2878557816,2.56666271947
0.0086,51.3839114363,2.94342054985
0.0088,53.1063428207,2.94342054985
0.009,54.5655923292,2.94342054985
0.0092,55.7992573726,3.32017838024
0.0094,55.8368547834,4.073694041
0.0096,54.154370648,4.45045187138
0.0098,53.2543826259,4.45045187138
0.01,52.582328907,5.18042016774
0.0102,50.7847027009,5.55717799813
0.0104,50.0750515712,5.93393582851
0.0106,49.7742722844,6.31069365889
0.0108,47.7557612896,6.68745148927
0.011,45.9205376726,7.06420931965
0.0112,45.6597056349,7.44096715003
0.0114,45.6221082241,8.1944828108
0.0116,45.6973030457,8.57124064118
0.0118,46.7829282839,8.94799847156
0.012,49.0270237438,8.94799847156
0.0122,51.2711192037,9.32475630194
0.0124,53.1063428207,9.32475630194
0.0126,54.60318974,9.70151413232
0.0128,55.9120496051,10.0547245983
0.013,56.9600774324,9.70151413232
0.0132,57.9329104381,10.0547245983
0.0134,58.6425615678,10.0547245983
0.0136,59.2417703032,10.0547245983
0.0138,59.5049521791,9.70151413232
0.014,58.7929512112,9.70151413232
0.0142,56.6968955565,9.32475630194
0.0144,54.6783845617,9.32475630194
0.0146,52.0583149933,8.94799847156
0.0148,48.5782046519,8.57124064118
0.015,45.6973030457,8.57124064118
0.0152,43.6012473911,8.1944828108
0.0154,40.8331380175,7.81772498041
0.0156,36.9418059949,7.44096715003
0.0158,33.1609163666,7.06420931965
0.016,29.6079610416,6.68745148927
0.0162,25.7142791808,6.31069365889
0.0164,22.9461698073,5.93393582851
0.0166,21.5245177096,5.55717799813
0.0168,21.0381012068,5.18042016774
0.017,21.0005037959,5.18042016774
0.0172,20.8501141526,4.82720970176
0.0174,21.1132960285,4.45045187138
0.0176,21.3741280662,4.45045187138
0.0178,20.9253089743,4.073694041
0.018,20.0276707903,3.69693621062
0.0182,19.8044361634,3.32017838024
0.0184,20.9253089743,3.32017838024
0.0186,22.309363661,3.32017838024
0.0188,22.9085723964,3.32017838024
0.019,23.1717542723,3.32017838024
0.0192,23.0589620398,3.32017838024
0.0194,21.4117254771,3.32017838024
0.0196,18.756408336,3.32017838024
0.0198,15.6499222649,3.69693621062
0.02,12.4329937993,3.69693621062
0.0202,9.17611808472,3.69693621062
0.0204,7.26804948426,4.073694041
0.0206,5.47277311634,4.073694041
0.0208,3.07828801306,4.45045187138
0.021,0.420621033845,4.45045187138
0.0212,-1.89866924775,4.45045187138
0.0214,-5.23073978402,4.45045187138
0.0216,-9.86932034721,4.82720970176
0.0218,-14.6206931429,5.18042016774
0.022,-18.1759983061,5.18042016774
0.0222,-21.1696921448,5.18042016774
0.0224,-23.6769694806,5.55717799813
0.0226,-25.0234267565,5.55717799813
0.0228,-25.9586623513,5.55717799813
0.023,-26.7458581409,5.55717799813
0.0232,-27.5683015032,5.93393582851
0.0234,-28.8043163848,5.93393582851
0.0236,-29.5139675145,5.93393582851
0.0238,-29.5139675145,5.93393582851
0.024,-28.95235619,5.93393582851
0.0242,-28.3531474546,5.55717799813
0.0244,-27.380314449,5.55717799813
0.0246,-25.4722458485,5.55717799813
0.0248,-23.4513850155,5.55717799813
0.025,-22.1425251504,5.18042016774
0.0252,-21.5809138259,4.45045187138
0.0254,-21.7689008801,4.45045187138
0.0256,-21.357679199,4.45045187138
0.0258,-20.9464575179,3.69693621062
0.026,-20.8712626962,3.32017838024
0.0262,-20.9464575179,2.94342054985
0.0264,-20.9817050905,2.56666271947
0.0266,-20.3848461933,2.18990488909
0.0268,-19.5976504037,1.81314705871
0.027,-19.522455582,1.43638922833
0.0272,-19.8232348688,1.05963139795
0.0274,-19.6352478146,0.682873567566
0.0276,-19.1112339009,0.306115737185
0.0278,-19.2992209551,-0.0470947287977
0.028,-19.5600529929,-0.0470947287977
0.0282,-19.336818366,-0.0470947287977
0.0284,-17.8775688575,-0.0470947287977
0.0286,-16.5311115816,-0.0470947287977
0.0288,-16.2303322948,-0.0470947287977
0.029,-15.8943054354,-0.0470947287977
0.0292,-16.1175400623,-0.0470947287977
0.0294,-17.7271792141,-0.0470947287977
0.0296,-19.522455582,-0.0470947287977
0.0298,-20.3848461933,-0.0470947287977
0.03,-19.3744157768,-0.0470947287977
0.0302,-16.5311115816,-0.0470947287977
0.0304,-12.3014028613,-0.0470947287977
0.0306,-7.39964042223,-0.0470947287977
0.0308,-3.91953008075,-0.0470947287977
0.031,-1.11382329633,-0.0470947287977
0.0312,0.869440125825,-0.0470947287977
0.0314,0.681453071593,-0.0470947287977
0.0316,0.232633979613,-0.0470947287977
0.0318,0.270231390459,-0.0470947287977
0.032,0.533413266385,-0.0470947287977
0.0322,0.944634947518,-0.0470947287977
0.0324,1.28066180696,-0.0470947287977
0.0326,1.58144109373,-0.0470947287977
0.0328,0.869440125825,-0.0470947287977
0.033,-1.67543462085,-0.0470947287977
0.0332,-6.09078055713,-0.0470947287977
0.0334,-11.3661672665,-0.0470947287977
0.0336,-15.9319028462,-0.0470947287977
0.0338,-19.8232348688,-0.0470947287977
0.034,-22.6289416532,-0.0470947287977
0.0342,-24.276178216,-0.0470947287977
0.0344,-25.6978303136,-0.0470947287977
0.0346,-26.2594416381,-0.0470947287977
0.0348,-26.3698840325,-0.0470947287977
0.035,-27.2322746438,-0.0470947287977
0.0352,-28.0171205952,-0.0470947287977
0.0354,-28.2051076494,-0.0470947287977
0.0356,-27.4931066815,-0.0470947287977
0.0358,-26.0714545839,-0.0470947287977
0.036,-23.7897617131,-0.0470947287977
0.0362,-20.2720539608,-0.0470947287977
0.0364,-16.6039565651,-0.0470947287977
0.0366,-13.7982497807,-0.0470947287977
0.0368,-11.9277785911,-0.0470947287977
0.037,-10.6541662986,-0.0470947287977
