"Latest: Time (s)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,-60.0101673874,10.4314824287
0.0002,-63.5278751397,11.1849980894
0.0004,-66.6343612109,10.8082402591
0.0006,-69.1768861194,10.8082402591
0.0008,-71.4233314175,10.4314824287
0.001,-73.2562051962,10.4314824287
0.0012,-74.9410391698,10.4314824287
0.0014,-76.2874964457,10.0547245983
0.0016,-77.4107190948,9.32475630194
0.0018,-78.3835521004,8.94799847156
0.002,-79.2811902844,8.57124064118
0.0022,-79.9908414141,8.1944828108
0.0024,-79.7300093764,7.44096715003
0.0026,-73.9682061641,6.68745148927
0.0028,-68.0560133085,5.93393582851
0.003,-64.9495272373,5.55717799813
0.0032,-58.8493473275,4.82720970176
0.0034,-47.2129486705,4.45045187138
0.0036,-34.4533273645,3.69693621062
0.0038,-21.0193025014,2.94342054985
0.004,-9.04687698494,2.56666271947
0.0042,1.84227313148,2.18990488909
0.0044,11.2345763286,1.81314705871
0.0046,19.0924351955,1.43638922833
0.0048,25.6790316082,0.682873567566
0.005,31.2528477662,0.682873567566
0.0052,35.9689729892,0.306115737185
0.0054,39.9354998335,0.306115737185
0.0056,43.3780127642,0.306115737185
0.0058,46.3317593538,-0.0470947287977
0.006,48.7661917061,-0.0470947287977
0.0062,50.8598975226,0.306115737185
0.0064,52.6575237287,-0.0470947287977
0.0066,54.154370648,-0.0470947287977
0.0068,55.500827924,-0.0470947287977
0.007,56.5864531622,-0.0470947287977
0.0072,57.5592861678,-0.0470947287977
0.0074,58.3441321192,0.306115737185
0.0076,58.9809382654,0.306115737185
0.0078,59.5801470008,0.306115737185
0.008,60.177005898,0.682873567566
0.0082,60.5882275791,1.05963139795
0.0084,60.9642016876,1.43638922833
0.0086,61.300228547,1.43638922833
0.0088,61.5610605848,1.81314705871
0.009,61.7866450499,2.18990488909
0.0092,61.9746321041,2.56666271947
0.0094,62.1602693202,2.94342054985
0.0096,62.2354641418,3.69693621062
0.0098,62.3858537852,4.073694041
0.01,62.5362434286,5.18042016774
0.0102,62.6090884121,5.55717799813
0.0104,62.6842832338,6.31069365889
0.0106,62.7594780555,7.06420931965
0.0108,61.9746321041,7.81772498041
0.011,59.3545625357,8.57124064118
0.0112,54.3024104532,8.94799847156
0.0114,47.5677742354,9.32475630194
0.0116,40.0835396387,10.0547245983
0.0118,31.4032374095,10.4314824287
0.012,20.777269169,11.1849980894
0.0122,10.3369381446,11.5617559198
0.0124,0.270231390459,12.3152715806
0.0126,-11.5541543208,12.692029411
0.0128,-22.5161494207,13.0687872414
0.013,-31.7956603853,13.0687872414
0.0132,-39.6535192522,13.0687872414
0.0134,-46.2401156648,13.4455450717
0.0136,-51.8538790719,13.0687872414
0.0138,-56.6428492784,13.4455450717
0.014,-60.7221683553,13.0687872414
0.0142,-64.0518890534,13.0687872414
0.0144,-65.7719705996,12.692029411
0.0146,-67.3064149298,12.3152715806
0.0148,-67.5695968057,11.9385137502
0.015,-65.2855540968,11.5617559198
0.0152,-61.2814298416,11.1849980894
0.0154,-56.6804466893,10.4314824287
0.0156,-51.4403075525,10.0547245983
0.0158,-45.30488007,9.32475630194
0.016,-38.0838273493,8.57124064118
0.0162,-30.075578839,7.81772498041
0.0164,-22.8545261183,7.06420931965
0.0166,-16.5663591542,6.68745148927
0.0168,-9.75652811467,5.93393582851
0.017,-2.76105985904,5.18042016774
0.0172,4.16156341307,4.45045187138
0.0174,10.3745355555,4.45045187138
0.0176,15.8755067299,3.69693621062
0.0178,21.674907353,2.94342054985
0.018,27.4743079761,2.56666271947
0.0182,31.8520565015,2.18990488909
0.0184,35.7057911133,1.81314705871
0.0186,39.7475127793,1.43638922833
0.0188,43.3028179425,1.05963139795
0.019,46.2213169594,1.05963139795
0.0192,48.6909968844,1.05963139795
0.0194,50.8598975226,1.05963139795
0.0196,52.6575237287,0.682873567566
0.0198,54.1167732372,0.682873567566
0.02,55.5384253348,0.306115737185
0.0202,56.5864531622,0.306115737185
0.0204,57.5592861678,0.682873567566
0.0206,58.3441321192,0.682873567566
0.0208,59.0561330871,0.682873567566
0.021,59.6153945735,1.05963139795
0.0212,60.177005898,1.05963139795
0.0214,60.62582499,1.05963139795
0.0216,61.0017990984,1.05963139795
0.0218,61.300228547,1.05963139795
0.022,61.5610605848,1.05963139795
0.0222,61.7866450499,1.43638922833
0.0224,61.300228547,2.18990488909
0.0226,59.1665754815,2.18990488909
0.0228,56.8472851999,2.18990488909
0.023,52.8807583556,2.56666271947
0.0232,47.7933587004,2.94342054985
0.0234,43.5636499802,2.94342054985
0.0236,38.4010555033,3.32017838024
0.0238,31.6264720364,3.69693621062
0.024,25.1926151053,4.073694041
0.0242,19.3908646441,4.45045187138
0.0244,13.142644929,4.45045187138
0.0246,7.00721744652,4.45045187138
0.0248,1.13262200175,4.82720970176
0.025,-5.15554496233,5.18042016774
0.0252,-10.6917637095,5.18042016774
0.0254,-15.5935261486,5.55717799813
0.0256,-21.1320947339,5.55717799813
0.0258,-25.9210649405,5.18042016774
0.026,-29.9251891956,5.55717799813
0.0262,-33.5932865913,5.55717799813
0.0264,-36.6245778408,5.55717799813
0.0266,-39.3926872144,5.55717799813
0.0268,-42.4239784639,5.18042016774
0.027,-44.630476513,5.18042016774
0.0272,-46.1649208431,5.18042016774
0.0274,-48.2985739087,4.45045187138
0.0276,-50.3194347417,4.45045187138
0.0278,-50.9914884606,4.073694041
0.028,-51.4779049634,3.69693621062
0.0282,-51.7034894285,3.32017838024
0.0284,-51.367462569,2.94342054985
0.0286,-51.0666832823,2.56666271947
0.0288,-50.0938502766,2.18990488909
0.029,-48.4842111247,1.81314705871
0.0292,-46.9145192219,1.43638922833
0.0294,-45.6785043403,1.05963139795
0.0296,-43.4344088804,0.682873567566
0.0298,-40.2527279875,0.306115737185
0.03,-37.4094237923,0.306115737185
0.0302,-33.8165212183,-0.0470947287977
0.0304,-29.8499943739,-0.0470947287977
0.0306,-26.5578710867,-0.0470947287977
0.0308,-22.8921235292,-0.0470947287977
0.031,-19.1112339009,-0.0470947287977
0.0312,-16.2303322948,-0.0470947287977
0.0314,-13.7606523698,-0.0470947287977
0.0316,-11.1053352288,-0.0470947287977
0.0318,-8.97168216325,-0.0470947287977
0.032,-6.9132239194,-0.0470947287977
0.0322,-5.30358476753,-0.0470947287977
0.0324,-5.04275272979,-0.0470947287977
0.0326,-5.37877958923,-0.0470947287977
0.0328,-5.04275272979,-0.0470947287977
0.033,-5.34118217838,-0.0470947287977
0.0332,-7.32444560053,-0.0470947287977
0.0334,-10.2429446175,-0.0470947287977
0.0336,-13.1990410453,-0.0470947287977
0.0338,-16.0070976679,-0.0470947287977
0.034,-18.4015827712,-0.0470947287977
0.0342,-20.4952885877,-0.0470947287977
0.0344,-23.0401633344,-0.0470947287977
0.0346,-25.1362189891,-0.0470947287977
0.0348,-26.6330659084,-0.0470947287977
0.035,-27.9419257735,-0.0470947287977
0.0352,-29.1027458334,-0.0470947287977
0.0354,-30.1507736607,-0.0470947287977
0.0356,-30.5619953418,-0.0470947287977
0.0358,-30.3011633041,-0.0470947287977
0.036,-30.1131762499,-0.0470947287977
0.0362,-29.2155380659,-0.0470947287977
0.0364,-26.8586503735,-0.0470947287977
0.0366,-24.01299634,-0.0470947287977
0.0368,-21.992135507,-0.0470947287977
0.037,-20.6832756419,-0.0470947287977
0.0372,-19.4120131877,-0.0470947287977
0.0374,-18.1759983061,-0.0470947287977
0.0376,-16.9799306736,-0.0470947287977
0.0378,-15.8567080245,-0.0470947287977
0.038,-15.8567080245,-0.0470947287977
0.0382,-16.0799426514,-0.0470947287977
0.0384,-15.3702915217,-0.0470947287977
0.0386,-14.9214724297,-0.0470947287977
0.0388,-15.4078889325,-0.0470947287977
0.039,-16.4935141707,-0.0470947287977
0.0392,-17.5391921599,-0.0470947287977
