BabolatLocation,BabolatGain,,HeadLocation,HeadGain,PrinceLocation,PrinceGain,B_location,B_avg,B_SD,H_location,H_avg,H_SD
0.7212,187.7955,,0.7449,317.2801,0.7059,346.4804,0.7212,176.349667,42.67662543,0.7449,341.1672,85.02014491
0.7212,151.7305,,0.7449,384.0326,0.7059,356.405,0.4519,141.895975,33.79945915,0.4388,418.354375,
0.7212,189.523,,0.7449,331.8663,0.7059,375.7931,0.2212,59.94143333,5.253133631,0.2041,,
0.4519,156.509,418.354375,0.7449,384.7385,0.4314,357.4503,-0.2212,89.4023,17.68460801,-0.2041,,
0.4519,156.5539,129.4365896,0.7449,287.9185,0.4314,236.8737,-0.4519,64.13573333,1.49387036,-0.4388,,
0.4519,127.3413,,0.4388,495.4093,0.4314,338.5304,-0.7212,208.8576,43.85071187,-0.7449,,
0.4519,127.1797,,0.4388,447.7213,0.4314,499.561,,,,,,
0.2212,61.9925,,0.4388,372.309,0.4314,268.0912,,,,,,
0.2212,61.5979,,0.4388,357.9779,0.2157,438.1146,,,,,,
0.2212,56.2339,,0.2041,79.3569,0.2157,302.1867,,,,,,
-0.2212,86.2476,,0.2041,135.384,0.2157,282.3016,,,,,,
-0.2212,78.7832,,0.2041,123.1427,0.2157,499.725,,,,,,
-0.2212,90.0369,,0.2041,128.6359,-0.2157,155.8849,,,,,,
-0.2212,103.1589,,0.2041,118.0732,-0.2157,227.1031,,,,,,
-0.2212,88.7849,,-0.2041,166.9183,-0.2157,181.2282,,,,,,
-0.4519,63.4661,,-0.2041,178.2318,-0.2157,176.1698,,,,,,
-0.4519,63.9998,,-0.2041,224.2709,-0.2157,224.3014,,,,,,
-0.4519,64.9413,,-0.7449,607.7115,-0.4314,266.8409,,,,,,
-0.7212,233.1579,,-0.7449,641.2969,-0.4314,250.0707,,,,,,
-0.7212,190.5558,,-0.7449,728.5705,-0.4314,314.837,,,,,,
-0.7212,202.8591,,-0.7449,895.5278,-0.7059,728.9604,,,,,,
,,,-0.7449,739.7104,-0.7059,1218.9,,,,,,
,,,,,-0.7059,878.9882,,,,,,
