"Latest: Time (s)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,-52.9395043101,10.1018193271
0.0002,-48.8249376605,10.4785771575
0.0004,-49.5721862011,10.4785771575
0.0006,-52.5282826289,10.4785771575
0.0008,-56.2339774355,10.4785771575
0.001,-59.3381136685,10.8553349879
0.0012,-60.1253094581,11.2320928182
0.0014,-58.2172408576,11.2320928182
0.0016,-58.4028780737,11.2320928182
0.0018,-59.7493353496,10.8553349879
0.002,-59.3757110793,10.4785771575
0.0022,-60.797363177,10.1018193271
0.0024,-64.0918363024,9.74860886112
0.0026,-62.6325867939,9.74860886112
0.0028,-54.0627269591,9.37185103074
0.003,-48.8249376605,8.99509320036
0.0032,-47.0649088653,8.61833536997
0.0034,-41.5286901181,8.24157753959
0.0036,-33.4452467861,7.48806187883
0.0038,-26.4474286923,7.11130404845
0.004,-16.4958640089,6.73454621807
0.0042,-4.40829642175,6.35778838769
0.0044,6.03203460269,5.9810305573
0.0046,14.8251290644,5.60427272692
0.0048,22.1965714285,5.60427272692
0.005,28.331998911,4.87430443056
0.0052,33.4969432261,4.49754660018
0.0054,37.9122891623,4.49754660018
0.0056,41.8788160066,4.49754660018
0.0058,44.8349124345,4.49754660018
0.006,47.603021808,4.49754660018
0.0062,49.8095198571,4.49754660018
0.0064,51.7927832792,4.1207887698
0.0066,53.4400198419,3.74403093942
0.0068,54.8616719396,4.1207887698
0.007,56.135284232,4.1207887698
0.0072,57.1457146485,4.1207887698
0.0074,58.0433528325,4.49754660018
0.0076,58.7530039622,4.49754660018
0.0078,59.3898101084,4.49754660018
0.008,59.9890188438,4.87430443056
0.0082,60.4754353466,5.22751489654
0.0084,60.8490596169,5.60427272692
0.0086,61.1850864763,5.60427272692
0.0088,61.5234631739,5.9810305573
0.009,61.70910039,6.35778838769
0.0092,61.9722822659,6.73454621807
0.0094,62.1203220711,7.11130404845
0.0096,61.4106709414,7.48806187883
0.0098,59.2770178759,7.86481970921
0.01,56.5465059131,7.86481970921
0.0102,52.6551738905,8.61833536997
0.0104,49.1374661382,8.99509320036
0.0106,45.3213289373,8.99509320036
0.0108,40.4195664982,9.37185103074
0.011,34.5802186261,9.37185103074
0.0112,28.5951807869,9.74860886112
0.0114,23.207001845,10.1018193271
0.0116,18.6788636762,10.4785771575
0.0118,14.225920329,10.4785771575
0.012,9.54739251683,10.4785771575
0.0122,5.09679900788,10.4785771575
0.0124,0.716700644261,10.4785771575
0.0126,-3.1370339675,10.4785771575
0.0128,-5.53151907079,10.4785771575
0.013,-6.27876761137,10.1018193271
0.0132,-6.6899892925,10.1018193271
0.0134,-7.4771850821,9.74860886112
0.0136,-8.00119899577,9.37185103074
0.0138,-8.26203103352,9.37185103074
0.014,-9.57324073679,8.99509320036
0.0142,-12.4165449321,8.24157753959
0.0144,-13.0533510783,8.24157753959
0.0146,-10.9572954236,7.48806187883
0.0148,-10.3580866882,7.11130404845
0.015,-10.9572954236,6.73454621807
0.0152,-11.6293491425,6.35778838769
0.0154,-13.0533510783,5.9810305573
0.0156,-14.9238222679,5.22751489654
0.0158,-16.3078769547,5.22751489654
0.016,-16.5311115816,4.49754660018
0.0162,-14.4374057651,4.1207887698
0.0164,-10.7693083693,3.36727310903
0.0166,-7.4771850821,2.99051527865
0.0168,-4.93231033543,2.61375744827
0.017,-2.68821487552,2.23699961789
0.0172,-0.441769577446,1.86024178751
0.0174,1.42870161217,1.48348395713
0.0176,4.04877118053,1.10672612675
0.0178,7.49128411117,0.729968296364
0.018,10.4097831281,0.353210465983
0.0182,12.6162811772,0.353210465983
0.0184,13.8522960588,0
0.0186,13.3658795559,0
0.0188,11.8314352258,0
0.019,10.1466012522,0
0.0192,8.01529802484,0
0.0194,7.37849187863,0
0.0196,6.33046405128,0
0.0198,4.27200580743,0
0.02,2.73756147726,0
0.0202,0.305478963128,0
0.0204,-1.93861649677,0
0.0206,-2.65061746468,0
0.0208,-2.94904691327,0
0.021,-3.28507377271,0
0.0212,-3.4354634161,0
0.0214,-4.52108865429,0
0.0216,-7.21400320617,0
0.0218,-9.98446241792,0
0.022,-12.0805180726,0
0.0222,-12.7525717915,0
0.0224,-13.2389882943,0
0.0226,-14.6230429811,0
0.0228,-16.6439038141,0
0.023,-19.1135837391,0
0.0232,-21.8840429508,0
0.0234,-24.8753869513,0
0.0236,-27.6458461631,0
0.0238,-29.3659277093,0
0.024,-30.3763581258,0
0.0242,-32.136386921,0
0.0244,-34.4932746135,0
0.0246,-36.1029137654,0
0.0248,-36.8125648951,0
0.025,-37.2613839871,0
0.0252,-37.4493710413,0
0.0254,-37.0005519493,0
0.0256,-35.7645370677,0
0.0258,-34.5684694352,0
0.026,-34.0820529324,0
0.0262,-33.8188710564,0
0.0264,-33.2196623211,0
0.0266,-32.2468293154,0
0.0268,-31.6123730074,0
0.027,-31.7980102234,0
0.0272,-32.1739843319,0
0.0274,-31.8356076343,0
0.0276,-30.9003720395,0
0.0278,-30.3011633041,0
0.028,-29.889941623,0
0.0282,-29.7771493904,0
0.0284,-29.6291095852,0
0.0286,-29.9651364447,0
0.0288,-29.9651364447,0
0.029,-28.6186791687,0
0.0292,-28.3554972928,0
0.0294,-26.8962477843,0
0.0296,-23.0801105834,0
0.0298,-20.7984177126,0
0.03,-17.4310996037,0
0.0302,-13.3893779377,0
0.0304,-11.4813093373,0
0.0306,-10.3956840991,0
0.0308,-9.721280542,0
0.031,-8.97403200142,0
0.0312,-7.58997731464,0
0.0314,-5.1578948005,0
0.0316,-1.52739481564,0
0.0318,1.65428607725,0
0.032,4.61038250505,0
0.0322,5.13204658055,0
0.0324,4.64563007772,0
0.0326,5.09679900788,0
0.0328,5.05920159703,0
0.033,4.38479803997,0
0.0332,4.79601972111,0
0.0334,5.80645013761,0
0.0336,7.22810223524,0
0.0338,8.61215692203,0
0.034,9.02572844134,0
0.0342,9.73537957107,0
0.0344,10.9337970418,0
0.0346,12.3178517286,0
0.0348,14.0755306857,0
0.035,16.4324183781,0
0.0352,19.2780724115,0
0.0354,22.1213766068,0
0.0356,24.0670426181,0
0.0358,24.8894859804,0
0.036,25.1150704455,0
0.0362,25.9375138077,0
0.0364,25.7871241643,0
0.0366,23.9166529747,0
0.0368,22.4574034663,0
0.037,21.4093756389,0
0.0372,19.7268915035,0
0.0374,18.4908766219,0
0.0376,17.6308358488,0
0.0378,16.5452106106,0
0.038,16.1715863404,0
0.0382,15.6851698375,0
0.0384,14.7123368319,0
0.0386,14.7123368319,0
0.0388,15.572377605,0
0.039,16.2843785729,0
0.0392,17.2948089894,0
0.0394,18.6036688545,0
0.0396,19.7268915035,0
